page_title,yr,total_edits,distinct_editors,reverted_edits,unreverted_edits,revert_rate
Arbitration/Policy,2004,84,27,0.0,84.0,0.0
Arbitration/Policy,2005,57,30,0.0,57.0,0.0
Arbitration/Policy,2006,39,31,0.0,39.0,0.0
Arbitration/Policy,2007,35,18,0.0,35.0,0.0
Arbitration/Policy,2008,19,12,0.0,19.0,0.0
Arbitration/Policy,2009,17,13,0.0,17.0,0.0
Arbitration/Policy,2010,2,2,0.0,2.0,0.0
Arbitration/Policy,2011,21,11,0.0,21.0,0.0
Arbitration/Policy,2012,4,2,0.0,4.0,0.0
Arbitration/Policy,2013,7,5,0.0,7.0,0.0
Arbitration/Policy,2014,2,2,0.0,2.0,0.0
Arbitration/Policy,2015,6,3,0.0,6.0,0.0
Arbitration/Policy,2016,7,4,0.0,7.0,0.0
Arbitration/Policy,2017,1,1,0.0,1.0,0.0
Arbitration/Policy,2018,1,1,0.0,1.0,0.0
Arbitration/Policy,2019,8,7,0.0,8.0,0.0
Arbitration/Policy,2020,1,1,0.0,1.0,0.0
Arbitration/Policy,2021,7,4,1.0,6.0,0.143
Arbitration/Policy,2022,2,2,0.0,2.0,0.0
Arbitration/Policy,2023,3,3,0.0,3.0,0.0
Arbitration/Policy,2024,4,3,0.0,4.0,0.0
Arbitration/Policy,2025,1,1,0.0,1.0,0.0
Banning_policy,2004,40,14,0.0,40.0,0.0
Banning_policy,2005,43,37,0.0,43.0,0.0
Banning_policy,2006,109,67,0.0,109.0,0.0
Banning_policy,2007,230,108,0.0,230.0,0.0
Banning_policy,2008,147,92,0.0,147.0,0.0
Banning_policy,2009,212,104,0.0,212.0,0.0
Banning_policy,2010,231,106,0.0,231.0,0.0
Banning_policy,2011,49,31,0.0,49.0,0.0
Banning_policy,2012,33,25,0.0,33.0,0.0
Banning_policy,2013,110,36,0.0,110.0,0.0
Banning_policy,2014,70,34,0.0,70.0,0.0
Banning_policy,2015,40,21,0.0,40.0,0.0
Banning_policy,2016,34,20,0.0,34.0,0.0
Banning_policy,2017,25,16,0.0,25.0,0.0
Banning_policy,2018,63,33,0.0,63.0,0.0
Banning_policy,2019,49,28,0.0,49.0,0.0
Banning_policy,2020,34,23,1.0,33.0,0.029
Banning_policy,2021,43,26,7.0,36.0,0.163
Banning_policy,2022,58,24,11.0,47.0,0.19
Banning_policy,2023,81,31,17.0,64.0,0.21
Banning_policy,2024,66,20,4.0,62.0,0.061
Banning_policy,2025,67,27,4.0,63.0,0.06
Banning_policy,2026,23,11,3.0,20.0,0.13
Biographies_of_living_persons,2005,119,16,0.0,119.0,0.0
Biographies_of_living_persons,2006,411,158,0.0,411.0,0.0
Biographies_of_living_persons,2007,1044,253,0.0,1044.0,0.0
Biographies_of_living_persons,2008,334,128,0.0,334.0,0.0
Biographies_of_living_persons,2009,321,168,0.0,321.0,0.0
Biographies_of_living_persons,2010,478,139,0.0,478.0,0.0
Biographies_of_living_persons,2011,139,75,0.0,139.0,0.0
Biographies_of_living_persons,2012,129,64,0.0,129.0,0.0
Biographies_of_living_persons,2013,77,44,0.0,77.0,0.0
Biographies_of_living_persons,2014,94,50,0.0,94.0,0.0
Biographies_of_living_persons,2015,55,29,0.0,55.0,0.0
Biographies_of_living_persons,2016,49,31,0.0,49.0,0.0
Biographies_of_living_persons,2017,80,49,0.0,80.0,0.0
Biographies_of_living_persons,2018,98,49,0.0,98.0,0.0
Biographies_of_living_persons,2019,79,41,0.0,79.0,0.0
Biographies_of_living_persons,2020,70,38,9.0,61.0,0.129
Biographies_of_living_persons,2021,132,45,28.0,104.0,0.212
Biographies_of_living_persons,2022,180,64,39.0,141.0,0.217
Biographies_of_living_persons,2023,96,34,13.0,83.0,0.135
