rfc_page,yr,distinct_editors,total_edits,reverted_edits,first_edit,last_edit,duration_days,revert_rate
Requests_for_comment/-Barry-,2006,15,57,0.0,20060526183640,20230415164944,6168,0.0
Requests_for_comment/-Lumière,2006,36,125,0.0,20060411225518,20220107063324,5750,0.0
Requests_for_comment/-Ril-,2006,4,6,0.0,20060508175800,20220504040306,5840,0.0
Requests_for_comment/138.130.194.229,2006,2,3,0.0,20060210035032,20230210215647,6209,0.0
Requests_for_comment/2006BC,2006,1,3,0.0,20060311034929,20060311035912,0,0.0
Requests_for_comment/205.240.227.15,2006,11,118,0.0,20060211065149,20230303044639,6229,0.0
Requests_for_comment/3RR,2006,3,9,0.0,20060225234108,20060323062403,26,0.0
Requests_for_comment/65.182.172.x,2006,4,4,0.0,20060210162000,20250219035312,6949,0.0
Requests_for_comment/66.66.165.85,2006,2,2,0.0,20061229150242,20220107063420,5488,0.0
Requests_for_comment/67.86.174.158,2006,2,5,0.0,20060410105939,20220107063423,5751,0.0
Requests_for_comment/68.18.39.45,2006,3,4,0.0,20061015103645,20220107063429,5563,0.0
Requests_for_comment/70.182.219.158,2006,6,9,0.0,20060103195253,20230303044630,6268,0.0
Requests_for_comment/84.234.110.198,2006,2,3,0.0,20061023130701,20220107063453,5555,0.0
Requests_for_comment/84.59.112.101,2006,9,31,0.0,20060131170215,20220107063456,5820,0.0
Requests_for_comment/86.10.231.219,2006,15,77,0.0,20060422181450,20220107063459,5739,0.0
Requests_for_comment/86.136.5.114,2006,2,2,0.0,20060529204508,20220107063503,5702,0.0
Requests_for_comment/Aaron_Brenneman,2006,15,27,0.0,20060511065215,20230310034537,6147,0.0
Requests_for_comment/Abu_badali,2006,68,227,0.0,20061129023024,20230128155821,5904,0.0
Requests_for_comment/Adam_Carr,2006,45,320,0.0,20060423101912,20220413113939,5834,0.0
Requests_for_comment/Agapetos_angel,2006,17,40,0.0,20060216082934,20220107063532,5804,0.0
Requests_for_comment/Aidan_Work,2006,6,11,0.0,20060120015115,20220107063539,5831,0.0
Requests_for_comment/Alastor_Moody,2006,7,26,0.0,20060916200022,20230303044614,6012,0.0
Requests_for_comment/Alberuni,2006,2,2,0.0,20060615040004,20220107063556,5685,0.0
Requests_for_comment/All,2006,96,188,24.0,20060130172305,20260327200821,7361,0.128
Requests_for_comment/Allabout2006_and_socks,2006,7,9,0.0,20060105041309,20060427042925,112,0.0
Requests_for_comment/Anarcho-capitalism,2006,18,42,0.0,20061108002212,20260302125431,7054,0.0
Requests_for_comment/Anittas,2006,12,15,0.0,20060111071352,20220404134656,5927,0.0
Requests_for_comment/Anittas_2,2006,32,215,0.0,20060111220049,20220107063655,5840,0.0
Requests_for_comment/Antidote,2006,7,18,0.0,20060101122948,20220404134652,5937,0.0
Requests_for_comment/Antidote/User_comments,2006,2,2,0.0,20061106171907,20061106171926,0,0.0
Requests_for_comment/Antifinnugor,2006,5,5,0.0,20060525164428,20230731171343,6276,0.0
Requests_for_comment/Aquirata,2006,15,67,0.0,20060601214209,20230303044549,6119,0.0
Requests_for_comment/Archival_materials,2006,24,89,0.0,20060329141635,20211023130925,5687,0.0
Requests_for_comment/ArmchairVexillologistDon,2006,3,4,0.0,20060219115521,20230210215756,6200,0.0
Requests_for_comment/Article_RfC_example,2006,2,6,0.0,20060713213129,20070516150847,307,0.0
Requests_for_comment/Asian_fetish,2006,2,7,0.0,20060223234917,20060225180402,2,0.0
Requests_for_comment/Asmodeus,2006,8,38,0.0,20061007165650,20220107063749,5571,0.0
Requests_for_comment/Aucaman,2006,53,291,0.0,20060303071159,20211108132703,5729,0.0
Requests_for_comment/Audio_format_standard,2006,9,11,0.0,20060315191143,20060423053130,39,0.0
Requests_for_comment/BB69,2006,2,5,0.0,20060211162136,20220328075204,5889,0.0
Requests_for_comment/BZ(Bruno_Zollinger),2006,9,15,0.0,20061120054723,20220107063829,5527,0.0
Requests_for_comment/BenH,2006,16,71,0.0,20060626004455,20220423175142,5780,0.0
Requests_for_comment/Benapgar,2006,6,10,0.0,20060105225104,20241219161412,6923,0.0
Requests_for_comment/Biographies,2006,547,4775,40.0,20060815194340,20260217100453,7126,0.008
Requests_for_comment/Bishonen,2006,67,166,0.0,20060103022208,20230223054832,6260,0.0
Requests_for_comment/Block_of_Richard_Arthur_Norton_(1958-_),2006,8,9,0.0,20060727201024,20220107063949,5643,0.0
Requests_for_comment/Boothy443,2006,7,23,0.0,20060115062240,20230403044810,6287,0.0
Requests_for_comment/BooyakaDell,2006,12,145,0.0,20061212003308,20230303044433,5925,0.0
Requests_for_comment/Braaad,2006,11,17,0.0,20060126221944,20220107064020,5825,0.0
Requests_for_comment/BrandonYusufToropov,2006,7,17,0.0,20061221202415,20080202092356,408,0.0
Requests_for_comment/BrianZ,2006,3,5,0.0,20060607044253,20220107064029,5693,0.0
Requests_for_comment/Brian_G._Crawford,2006,23,37,0.0,20060518165429,20230303044431,6133,0.0
Requests_for_comment/Brya,2006,12,42,0.0,20060622091004,20220107064036,5678,0.0
Requests_for_comment/BuddhaInside,2006,3,5,0.0,20060530034849,20081009042139,863,0.0
Requests_for_comment/Canaen,2006,4,5,0.0,20060108085043,20220107064116,5843,0.0
Requests_for_comment/Carfiend,2006,15,52,0.0,20060803160018,20220516053246,5765,0.0
Requests_for_comment/Chan_Han_Xiang,2006,4,4,0.0,20060425071950,20220504040020,5853,0.0
Requests_for_comment/CheeseDreams/RFC1,2006,6,8,0.0,20060101072822,20240926183741,6843,0.0
Requests_for_comment/Chisinau,2006,8,14,0.0,20060301204942,20220107064158,5791,0.0
Requests_for_comment/Chowbok,2006,66,284,0.0,20061126030606,20230302200546,5940,0.0
Requests_for_comment/Christinam,2006,4,12,0.0,20060514023209,20220107064210,5717,0.0
Requests_for_comment/CltFn,2006,28,94,0.0,20061129194918,20230303044409,5938,0.0
Requests_for_comment/Colignatus,2006,15,44,0.0,20060311050220,20230303044407,6201,0.0
Requests_for_comment/ComCat,2006,6,12,0.0,20060228014034,20230303044356,6212,0.0
Requests_for_comment/Comandante,2006,10,21,0.0,20060106012212,20220107064246,5845,0.0
Requests_for_comment/CoolKatt_number_99999,2006,20,55,0.0,20060517204602,20250114034906,6817,0.0
Requests_for_comment/Cool_Cat,2006,20,34,0.0,20060329185307,20250123160508,6875,0.0
Requests_for_comment/Copperchair,2006,3,8,0.0,20060106074735,20220107064259,5845,0.0
Requests_for_comment/Cplot,2006,2,2,0.0,20061227141605,20220107064305,5490,0.0
Requests_for_comment/CrazyInSane,2006,17,48,0.0,20060807202424,20260127213444,7113,0.0
Requests_for_comment/Crown_copyright,2006,2,3,0.0,20060219121114,20070506144518,441,0.0
Requests_for_comment/Cumbey,2006,3,4,0.0,20060524004855,20220504035944,5824,0.0
Requests_for_comment/Curps,2006,9,12,0.0,20060516202715,20220419120616,5817,0.0
Requests_for_comment/Cyde,2006,50,195,0.0,20060423184338,20230302200550,6157,0.0
Requests_for_comment/Cyde2,2006,62,274,0.0,20060507123223,20220525095122,5862,0.0
Requests_for_comment/Dabljuh,2006,30,133,0.0,20060112133242,20220320172325,5911,0.0
Requests_for_comment/DanceScape,2006,5,9,0.0,20060211155405,20220107064345,5809,0.0
Requests_for_comment/Daniel575,2006,22,80,0.0,20060927203005,20220107064353,5581,0.0
Requests_for_comment/Daniel_C._Boyer,2006,2,3,0.0,20060319165754,20230128155747,6159,0.0
Requests_for_comment/Danras,2006,9,17,0.0,20061023072642,20220107064357,5555,0.0
Requests_for_comment/Darwinek,2006,16,59,0.0,20060718175001,20260302125436,7167,0.0
Requests_for_comment/Dbachmann_(2),2006,29,62,0.0,20060101003246,20220521150727,5984,0.0
Requests_for_comment/Deathrocker,2006,4,6,0.0,20060326200443,20220107064446,5766,0.0
Requests_for_comment/Debuskjt,2006,4,20,0.0,20061021052131,20061021225922,0,0.0
Requests_for_comment/Deeceevoice,2006,3,6,0.0,20060208005446,20260129185454,7295,0.0
Requests_for_comment/Deletion_of_VFD,2006,4,10,0.0,20060613094012,20241115143842,6730,0.0
Requests_for_comment/Der_alte_Hexenmeister,2006,13,43,0.0,20060619002453,20220107064504,5681,0.0
Requests_for_comment/Devilmaycares,2006,8,26,0.0,20061028175654,20220107064511,5550,0.0
Requests_for_comment/Discretion_blocks_by_admins,2006,15,34,0.0,20060831223221,20220404134635,5695,0.0
Requests_for_comment/Diyako,2006,6,11,0.0,20060325004139,20060411082605,17,0.0
"Requests_for_comment/Diyako,_Heja_helweda,_Muhamed",2006,3,9,0.0,20060323101600,20060325145023,2,0.0
"Requests_for_comment/Diyako,_Heja_helweda,_Muhamed_1",2006,5,19,0.0,20060321225017,20090813221637,1241,0.0
Requests_for_comment/DotSix,2006,5,7,0.0,20060206013609,20230227094628,6230,0.0
Requests_for_comment/Dr1819,2006,12,50,0.0,20060611003906,20220107064603,5689,0.0
Requests_for_comment/DreamGuy,2006,10,22,0.0,20060531111821,20230315035309,6132,0.0
Requests_for_comment/Duncharris,2006,8,23,0.0,20060110030759,20260402081914,7387,0.0
Requests_for_comment/Durin,2006,3,6,0.0,20060611001521,20220713062815,5876,0.0
Requests_for_comment/Durin_and_fair_use_image_removals,2006,28,51,0.0,20060525172701,20230303044318,6126,0.0
Requests_for_comment/ER_MD,2006,2,3,0.0,20060403232829,20220107064648,5758,0.0
"Requests_for_comment/Economy,_trade,_and_companies",2006,173,1358,18.0,20060106170223,20251229073118,7297,0.013
Requests_for_comment/Ed_Poor_(2),2006,32,115,0.0,20060531203744,20230219022132,6108,0.0
Requests_for_comment/Edinborgarstefan,2006,5,6,0.0,20060107191032,20060114031253,7,0.0
Requests_for_comment/El_Gringo,2006,15,45,0.0,20060906182254,20220107064713,5602,0.0
Requests_for_comment/Elaragirl,2006,31,96,0.0,20061207082552,20240509153943,6363,0.0
Requests_for_comment/Elerner,2006,12,34,0.0,20060116183728,20060718080912,183,0.0
Requests_for_comment/Elk_Salmon,2006,6,20,0.0,20060818231445,20220115190616,5629,0.0
Requests_for_comment/Enforcement,2006,9,16,0.0,20060120143521,20131106233956,2847,0.0
Requests_for_comment/Ericsaindon2,2006,15,38,0.0,20060605075852,20220404134630,5782,0.0
Requests_for_comment/Ernham,2006,9,16,0.0,20061014154059,20220107064744,5564,0.0
Requests_for_comment/Erwin_Walsh,2006,3,6,0.0,20060304155700,20230303044301,6208,0.0
Requests_for_comment/Everyking,2006,5,5,0.0,20060928054722,20230731171308,6150,0.0
Requests_for_comment/Everyone_using_a_username_which_is_against_policy,2006,2,2,0.0,20060620151022,20230210215941,6079,0.0
Requests_for_comment/Example_article,2006,5,5,0.0,20060219162235,20060316223343,25,0.0
Requests_for_comment/Example_user,2006,4,4,0.0,20060403200044,20110815123640,1960,0.0
Requests_for_comment/Eyeonvaughan,2006,20,97,0.0,20060405024726,20220107064817,5756,0.0
Requests_for_comment/F.O.E.,2006,32,64,0.0,20060707232126,20230403091035,6114,0.0
Requests_for_comment/FCYTravis,2006,8,24,0.0,20060925213118,20230210215947,5982,0.0
Requests_for_comment/Fadix,2006,12,42,0.0,20060422142006,20220107064836,5739,0.0
Requests_for_comment/Fairness_And_Accuracy_For_All,2006,28,112,0.0,20061110214531,20230303044241,5957,0.0
Requests_for_comment/Famekeeper,2006,3,4,0.0,20060412111907,20220301070139,5802,0.0
Requests_for_comment/February_userbox_deletion,2006,69,299,0.0,20060220172753,20230218134940,6207,0.0
Requests_for_comment/Ferick,2006,23,63,0.0,20060806010050,20230303044238,6053,0.0
Requests_for_comment/Filmography,2006,29,53,0.0,20061229211905,20230210215956,5887,0.0
Requests_for_comment/Fix_Bayonets!,2006,14,29,0.0,20061107015206,20220107064902,5540,0.0
Requests_for_comment/ForbiddenWord,2006,11,24,0.0,20061018204205,20220107064918,5560,0.0
Requests_for_comment/Former_user_20,2006,91,621,0.0,20060122112402,20210514122606,5591,0.0
Requests_for_comment/FourthAve_FourthAve,2006,11,24,0.0,20060303091652,20220107064925,5789,0.0
Requests_for_comment/Francespeabody,2006,15,32,0.0,20060720044722,20220513185911,5776,0.0
Requests_for_comment/Frater_FiatLux,2006,8,57,0.0,20060621172910,20220107064931,5679,0.0
Requests_for_comment/Freemasonry,2006,18,39,0.0,20060307044417,20211215135653,5762,0.0
Requests_for_comment/Freestylefrappe,2006,5,10,0.0,20060101061133,20230303044230,6270,0.0
Requests_for_comment/FuelWagon_2,2006,3,7,0.0,20060816170015,20220501041655,5737,0.0
Requests_for_comment/Futureobservatory,2006,6,14,0.0,20060512035424,20220107064956,5719,0.0
Requests_for_comment/GRider,2006,5,7,0.0,20060226131730,20230210220010,6193,0.0
Requests_for_comment/GRider2,2006,5,8,0.0,20060525165008,20230210220013,6105,0.0
Requests_for_comment/Gabrielsimon,2006,4,6,1.0,20060606222926,20211010171551,5605,0.167
