ym,new_rfc_count,rfc_edits,year,month
200601,80,102315.0,2006,1
200602,36,1454.0,2006,2
200603,42,1809.0,2006,3
200604,34,2144.0,2006,4
200605,40,2348.0,2006,5
200606,49,1239.0,2006,6
200607,26,1212.0,2006,7
200608,26,14002.0,2006,8
200609,20,656.0,2006,9
200610,18,514.0,2006,10
200611,24,1731.0,2006,11
200612,22,1778.0,2006,12
200701,10,700.0,2007,1
200702,42,1800.0,2007,2
200703,20,525.0,2007,3
200704,51,1336.0,2007,4
200705,47,3890.0,2007,5
200706,23,1187.0,2007,6
200707,22,10823.0,2007,7
200708,16,990.0,2007,8
200709,18,796.0,2007,9
200710,17,1994.0,2007,10
200711,13,2193.0,2007,11
200712,12,1237.0,2007,12
200801,11,692.0,2008,1
200802,14,1248.0,2008,2
200803,7,3034.0,2008,3
200804,14,1209.0,2008,4
200805,13,760.0,2008,5
200806,13,1063.0,2008,6
200807,22,1707.0,2008,7
200808,12,1209.0,2008,8
200809,17,619.0,2008,9
200810,24,1116.0,2008,10
200811,10,503.0,2008,11
200812,5,1092.0,2008,12
200901,7,1620.0,2009,1
200902,6,206.0,2009,2
200903,6,644.0,2009,3
200904,7,684.0,2009,4
200905,20,5640.0,2009,5
200906,11,3687.0,2009,6
200907,13,1759.0,2009,7
200908,9,932.0,2009,8
200909,4,997.0,2009,9
200910,47,5442.0,2009,10
200911,16,1325.0,2009,11
200912,10,703.0,2009,12
201001,10,6223.0,2010,1
201002,10,2819.0,2010,2
201003,5,429.0,2010,3
201004,10,1098.0,2010,4
201005,11,1700.0,2010,5
201006,11,1049.0,2010,6
201007,6,906.0,2010,7
201008,9,1014.0,2010,8
201009,9,674.0,2010,9
201010,7,777.0,2010,10
201011,8,1180.0,2010,11
201012,2,493.0,2010,12
201101,5,654.0,2011,1
201102,6,461.0,2011,2
201103,10,426.0,2011,3
201104,5,537.0,2011,4
201105,9,631.0,2011,5
201106,3,708.0,2011,6
201107,10,5445.0,2011,7
201108,3,893.0,2011,8
201109,1,1365.0,2011,9
201110,4,154.0,2011,10
201111,2,272.0,2011,11
201112,3,230.0,2011,12
201201,5,803.0,2012,1
201202,6,2946.0,2012,2
201203,9,3898.0,2012,3
201204,2,2.0,2012,4
201205,5,1227.0,2012,5
201206,6,628.0,2012,6
201207,1,22.0,2012,7
201208,8,1587.0,2012,8
201209,26,640.0,2012,9
201210,11,1841.0,2012,10
201211,10,1377.0,2012,11
201212,21,847.0,2012,12
201301,6,1368.0,2013,1
201302,1,13.0,2013,2
201303,9,135.0,2013,3
201304,7,2149.0,2013,4
201305,15,608.0,2013,5
201306,4,117.0,2013,6
201307,3,26.0,2013,7
201308,10,220.0,2013,8
201309,14,1246.0,2013,9
201310,5,79.0,2013,10
201311,3,125.0,2013,11
201312,3,176.0,2013,12
201401,2,301.0,2014,1
201402,5,271.0,2014,2
201403,2,34.0,2014,3
201404,2,5.0,2014,4
201405,3,81.0,2014,5
201406,4,740.0,2014,6
201407,4,223.0,2014,7
201408,5,351.0,2014,8
201409,2,191.0,2014,9
201410,4,235.0,2014,10
201501,1,235.0,2015,1
201502,2,5.0,2015,2
201505,1,17.0,2015,5
201507,2,210.0,2015,7
201508,1,55.0,2015,8
201510,3,1059.0,2015,10
201512,1,48.0,2015,12
201601,1,22.0,2016,1
201604,1,636.0,2016,4
201605,1,464.0,2016,5
201606,2,1160.0,2016,6
201608,2,386.0,2016,8
201609,1,308.0,2016,9
201610,1,97.0,2016,10
201611,1,140.0,2016,11
201612,1,223.0,2016,12
201701,1,34.0,2017,1
201702,1,130.0,2017,2
201704,2,754.0,2017,4
201705,2,118.0,2017,5
201709,1,330.0,2017,9
201710,2,250.0,2017,10
201801,1,27.0,2018,1
201803,1,251.0,2018,3
201806,1,162.0,2018,6
201809,1,262.0,2018,9
201810,5,194.0,2018,10
201811,1,906.0,2018,11
201901,2,133.0,2019,1
201902,1,4.0,2019,2
201903,1,447.0,2019,3
201907,1,79.0,2019,7
201908,2,7.0,2019,8
201909,2,469.0,2019,9
201910,2,1340.0,2019,10
202003,2,4.0,2020,3
202004,3,1074.0,2020,4
202005,4,19.0,2020,5
202006,1,83.0,2020,6
202007,1,10.0,2020,7
202008,3,1558.0,2020,8
202009,1,15.0,2020,9
202010,1,6.0,2020,10
202012,1,248.0,2020,12
202101,1,10.0,2021,1
202102,1,1272.0,2021,2
202103,6,529.0,2021,3
202105,1,1.0,2021,5
202107,5,22.0,2021,7
202108,3,9.0,2021,8
202109,2,1034.0,2021,9
202110,2,5.0,2021,10
202111,1,2.0,2021,11
202112,2,280.0,2021,12
202201,49,88.0,2022,1
202203,1,1.0,2022,3
202204,2,10.0,2022,4
202205,2,3.0,2022,5
202206,1,720.0,2022,6
202209,5,1579.0,2022,9
202301,2,3070.0,2023,1
202302,6,226.0,2023,2
202303,4,777.0,2023,3
202304,6,13.0,2023,4
202307,2,754.0,2023,7
202309,1,270.0,2023,9
202310,3,941.0,2023,10
202311,1,63.0,2023,11
202312,2,425.0,2023,12
202401,3,487.0,2024,1
202403,2,177.0,2024,3
202404,1,5.0,2024,4
202406,1,532.0,2024,6
202407,3,92.0,2024,7
202410,5,483.0,2024,10
202411,4,1117.0,2024,11
202501,2,144.0,2025,1
202502,1,677.0,2025,2
202505,1,112.0,2025,5
202506,1,148.0,2025,6
202508,2,2.0,2025,8
202509,2,75.0,2025,9
202510,1,156.0,2025,10
202511,1,64.0,2025,11
202601,4,316.0,2026,1
202602,1,1096.0,2026,2
202604,2,184.0,2026,4
