open_rev_id,page_id,namespace,page_title,open_ts
885611790,52396925,1,Gab_(social_network),20190301040115
885647424,47325948,1,List_of_Square_Enix_video_game_franchises,20190301110116
885780397,52233637,1,List_of_federal_judges_appointed_by_Donald_Trump,20190302080119
886025167,5400462,1,Century,20190303210110
886049793,58955137,1,"Thank_U,_Next",20190304000134
886065805,8821143,1,Districts_of_Japan,20190304020111
886137718,8821143,1,Districts_of_Japan,20190304140114
886153519,25524429,1,Swedes,20190304160114
886176268,5986775,1,Harry_Potter_influences_and_analogues,20190304180110
886239982,51290222,1,Ilhan_Omar,20190305010116
886254265,54281935,1,Film_censorship_in_China,20190305030116
886265792,59679306,1,Kirsten_Gillibrand_2020_presidential_campaign,20190305050118
886280139,270768,1,Conspiracy_theory,20190305080107
886294439,60143131,5,Articles_for_deletion/Nayanova_University,20190305110121
886348053,59679306,1,Kirsten_Gillibrand_2020_presidential_campaign,20190305190117
886366029,32690855,1,Allegheny_River_Lock_and_Dam_No._3,20190305210117
886388513,5471044,1,Kirarin_Revolution,20190306000111
886465775,25524429,1,Swedes,20190306130124
886478064,44081843,1,1978_Finnish_Air_Force_DC-3_crash,20190306150130
886485589,18696772,1,English_people,20190306160117
886501402,425905,5,Speedy_deletion,20190306180108
886526572,11055,1,Fascism,20190306210106
886534834,34214498,1,List_of_music_considered_the_worst,20190306220115
886594344,478026,1,Raiffeisen_Zentralbank,20190307070108
886607992,65348,1,Michael_Jackson,20190307100107
886676327,438769,1,Carnage_(character),20190307200108
886698522,59828882,1,Cory_Booker_2020_presidential_campaign,20190307230119
886728903,521976,0,Jesselyn_Radack,20190308040109
886753854,2210348,1,United_Kingdom_of_Great_Britain_and_Ireland,20190308090110
886759043,3175605,1,Gender_feminism,20190308100111
886819266,59102835,1,Sukavich_Rangsitpol,20190308190117
886856460,11424955,4,Reliable_sources/Noticeboard,20190309000115
886856479,59102835,1,Sukavich_Rangsitpol,20190309000123
886910790,11424955,4,Reliable_sources/Noticeboard,20190309100113
886927269,27547611,1,Reed-Custer_High_School,20190309130115
886953488,570793,1,Donald_Trump,20190309170108
886975507,525312,1,NationStates,20190309200110
887004865,65348,1,Michael_Jackson,20190310000132
887017734,3085290,5,Naming_conventions_(geographic_names),20190310020109
887023777,7664735,1,List_of_film_spoofs_in_Mad,20190310030111
887029882,2984680,5,WikiProject_Canadian_law,20190310040109
887035332,8114831,5,WikiProject_World_Rally,20190310050112
887067321,525312,1,NationStates,20190310110107
887067330,51163558,1,Immigration_and_crime_in_Germany,20190310110116
887098245,32068223,1,North_Korea,20190310160118
887130219,1334623,1,1976_Tangshan_earthquake,20190310200110
887154392,9251589,1,Achziv,20190310230111
887169026,1659622,5,Did_you_know,20190311010113
887175283,106090,1,"Guns,_Germs,_and_Steel",20190311020115
887175298,3901568,11,Asia_topic,20190311020122
887175308,11785028,1,Assamese_people,20190311020127
887175325,33078566,1,List_of_wars_involving_Turkey,20190311020131
887175328,41225792,1,Suki_Waterhouse,20190311020134
887175336,50891667,1,List_of_2017_albums,20190311020136
887208073,22125254,1,Yonaguni_Monument,20190311070114
887234512,16618368,1,Muse_(disambiguation),20190311110113
887245930,65348,1,Michael_Jackson,20190311130135
887252258,65348,1,Michael_Jackson,20190311140134
887284361,900106,5,Templates_for_discussion,20190311180120
887440838,3706897,4,Village_pump_(proposals),20190312180112
887465022,55719827,1,Mass_shootings_in_the_United_States,20190312210117
887465026,55957147,1,Antisemitism_in_the_British_Labour_Party,20190312210120
887495644,49300695,1,Otto_Warmbier,20190313010116
887516739,19728620,1,Jimmy_Carter,20190313040125
887613029,55008578,1,The_NeuroGenderings_Network,20190313190117
887621280,3706897,4,Village_pump_(proposals),20190313200115
887685193,16355664,1,List_of_surviving_Messerschmitt_Bf_109s,20190314050112
887695007,7896227,1,Freedom_of_religion_by_country,20190314070117
887808900,1899842,5,Notability_(academics),20190315000119
887829710,179036,1,Mary_Kay_Letourneau,20190315030109
887851707,60233066,1,Christchurch_mosque_shootings,20190315070119
887871188,17225084,1,Chronic_prostatitis/chronic_pelvic_pain_syndrome,20190315110116
887967873,741633,5,Template_namespace,20190316010138
887979623,9343147,1,Companion_(Doctor_Who),20190316030143
888014593,714565,1,PCCW,20190316100114
888064837,46574640,1,White_genocide_conspiracy_theory,20190316180122
888117758,60233066,1,Christchurch_mosque_shootings,20190317010118
888198645,1051902,5,Community_portal,20190317160110
888215082,5149102,4,Administrators'_noticeboard,20190317180111
888230766,425905,5,Speedy_deletion,20190317200108
888258949,46626,1,35_mm_movie_film,20190318000108
888258957,1437697,11,Infobox_officeholder,20190318000112
888258963,1437697,11,Infobox_officeholder,20190318000113
888266506,1437697,11,Infobox_officeholder,20190318010110
888294182,55123339,1,Detransition,20190318060117
888298607,15652217,5,WikiProject_Music/Music_genres_task_force/Colours,20190318070112
888352192,36762574,1,Paul_Atherton,20190318160121
888360995,81613,1,Camera,20190318170107
888360998,253815,1,Black_and_white,20190318170109
888361015,60248744,4,Articles_for_deletion/IPhoneography,20190318170120
888369002,10029213,1,Yogi_Bhajan,20190318180113
888412873,6304550,1,Jeremy_Corbyn,20190319000111
888412879,8972686,11,Article_history,20190319000114
888431964,60233066,1,Christchurch_mosque_shootings,20190319030119
888454619,51446,1,Fermat's_Last_Theorem,20190319080108
888473235,167953,5,Moving_a_page,20190319120107
888486850,1659622,5,Did_you_know,20190319140110
888486862,9574432,1,List_of_political_parties_in_Cuba,20190319140115
888501943,9769014,11,Country_data_New_Caledonia,20190319160115
888668550,2677192,1,Faisalabad,20190320170110
888668568,31709005,1,Toledo_steel,20190320170116
888880197,9596384,1,Slavery,20190322000118
888912432,142147,1,Motion_picture_content_rating_system,20190322050107
888944602,914261,1,George_Pell,20190322120116
888944619,25524429,1,Swedes,20190322120125
889021129,85866,1,List_of_photographers,20190322220107
889021141,5149102,4,Administrators'_noticeboard,20190322220112
889061567,10492110,5,Manual_of_Style/Television,20190323050114
889065524,34628991,1,Sobibor_trial,20190323060117
889097363,681012,1,Germanic_peoples,20190323130109
889153211,22071937,1,Jewish_religious_clothing,20190323210114
889173743,31718717,1,Marc-André_ter_Stegen,20190324000124
889187776,18568162,1,Pope_John_Paul_II,20190324020115
889243831,59230627,1,DogsBite.org,20190324130118
889303864,505667,5,Tutorial_(historical),20190324210107
889357333,518116,1,Rigel,20190325050108
889392176,25524429,1,Swedes,20190325120128
889392180,33167687,1,Republic_of_China_(1912–1949),20190325120129
889490513,142733,1,Order_of_the_Arrow,20190326010123
889498384,26922460,1,Sino-Vietnamese_conflicts_(1979–1991),20190326020130
889515828,51290222,1,Ilhan_Omar,20190326050128
889656494,57749604,1,Dissent_from_Catholic_teaching_on_homosexuality,20190327030132
889693547,6870246,1,Mobile_country_code,20190327100149
889731978,142733,1,Order_of_the_Arrow,20190327160121
889731994,18716846,1,Culture_of_the_United_States,20190327160130
889855741,46005,1,Romania,20190328120137
889906849,60231535,1,Olivia_Jade,20190328190121
889914661,54433152,1,2017_Eaton_Township_Weis_Markets_shooting,20190328200140
890007204,59152663,1,Nationwide_opinion_polling_for_the_2020_Democratic_Party_presidential_primaries,20190329120142
890040472,174210,5,WikiProject_Music,20190329170110
890092120,40914601,1,List_of_most-subscribed_YouTube_channels,20190330010139
890117727,60132925,1,NGHTCRWLRS,20190330060139
890212375,986140,4,Village_pump_(policy),20190330220130
890237200,3117615,5,Article_titles,20190331020133
890262022,26913729,1,Steven_Beitashour,20190331070211
