open_rev_id,page_id,namespace,page_title,open_ts,close_ts,outcome_type,closer,duration_days
571745000,50390,1,High-speed_rail,20130906062849,,open,,
571745211,50390,1,High-speed_rail,20130906063146,,open,,
571745224,75321,5,Manual_of_Style,20130906063200,20131006160022,stale,Legobot,30.0
571745241,75321,5,Manual_of_Style,20130906063214,20131006160022,stale,Legobot,30.0
571745255,244300,1,Guttermouth,20130906063227,20131003020048,stale,Legobot,26.0
571745278,334476,5,Edit_warring,20130906063240,20131004040040,stale,Legobot,27.0
571745293,647091,5,Banning_policy,20130906063254,20131004040046,stale,Legobot,27.0
571745304,900106,5,Templates_for_discussion,20130906063304,20131005160030,stale,Legobot,29.0
571745313,986140,4,Village_pump_(policy),20130906063312,20150611013555,human_close,Esquivalience,642.0
571745331,2432061,1,List_of_new_religious_movements,20130906063329,,open,,
571830328,729924,1,Nokia/Archive_1,20130906210019,,open,,
571830360,8438027,1,Ransom_theory_of_atonement,20130906210036,20131007040041,stale,Legobot,30.0
571837143,4514044,5,Good_article_criteria,20130906220020,20131007040029,stale,Legobot,30.0
571990591,14178424,1,20_Fenchurch_Street,20130908010036,20131007040047,stale,Legobot,29.0
571990620,15737103,11,Track_listing,20130908010052,20130908010100,stale,Legobot,0.0
571990643,27983096,5,WikiProject_South_America/Falkland_Islands_work_group/Units,20130908010105,,open,,
572076638,986140,4,Village_pump_(policy),20130908170021,20150611013555,human_close,Esquivalience,640.0
572123209,13355911,1,The_Big_Bang_Theory,20130909000033,20131009130058,stale,Legobot,30.0
572134645,36129722,11,MOS-TW,20130909020041,20131009130107,stale,Legobot,30.0
572446653,24367,1,Penis,20130911050015,20131011180017,stale,Legobot,30.0
572946624,75321,5,Manual_of_Style,20130914225622,20131006160022,stale,Legobot,21.0
572946629,239276,1,Oral_sex,20130914225628,20130917050026,stale,Legobot,2.0
572946654,503138,1,Derry,20130914225642,20131010120030,stale,Legobot,25.0
572946704,2701084,1,Léon:_The_Professional,20130914225717,,open,,
572946715,3464855,5,Biographies_of_living_persons,20130914225722,20150725160024,stale,Legobot,678.0
572946730,3475363,1,Neve_Shalom,20130914225728,20131011180032,stale,Legobot,26.0
572946741,3593863,1,Femininity,20130914225740,,open,,
572946753,3706897,4,Village_pump_(proposals),20130914225746,20150909094132,human_close,MSGJ,724.0
572946784,8283648,1,Jewish_Bolshevism,20130914225803,20131012170042,stale,Legobot,27.0
572946813,11241527,5,WikiProject_Severe_weather,20130914225826,20131010120049,stale,Legobot,25.0
572946821,11543841,1,Wolf_attack,20130914225831,20131012230039,stale,Legobot,28.0
572946956,40260540,3,L'Origine_du_monde,20130914225956,,open,,
572946981,40464622,1,Serbia_women's_national_beach_handball_team,20130914230010,,open,,
572946992,40472357,1,Josh_Willis,20130914230014,20131011180104,stale,Legobot,26.0
572947002,40492561,4,Requests_for_comment/Template_editor_user_right,20130914230018,20131011180111,stale,Legobot,26.0
573096841,1942283,1,Golden_Dawn_(Greece),20130916020026,20130918070059,stale,Legobot,2.0
573096897,23546374,1,Venus_and_Mars_(Botticelli),20130916020059,20131015170053,stale,Legobot,29.0
573096908,38966397,5,Video_and_Interactive_Tutorials,20130916020106,20130916020109,stale,Legobot,0.0
573259173,3366857,1,The_Departed,20130917050045,20131017050030,stale,Legobot,29.0
573462182,63712,5,WikiProject_Countries,20130918070025,20131015170022,stale,Legobot,27.0
573462202,189815,5,Manual_of_Style/Dates_and_numbers,20130918070032,20131017170022,stale,Legobot,29.0
573462233,482367,1,Raging_Bull,20130918070047,20131018030021,stale,Legobot,29.0
573462310,8111852,1,Psychrolutes_marcidus,20130918070114,20131017070035,stale,Legobot,28.0
573462343,40082178,1,Footpaths_of_Gibraltar,20130918070134,,open,,
573618718,11533,1,Freemasonry,20130919100027,,open,,
573618759,1554017,1,Carlos_Latuff,20130919100043,20131017070022,stale,Legobot,27.0
573618776,1878836,1,David_Foster_Wallace,20130919100054,20131018230032,stale,Legobot,29.0
573618803,1942283,1,Golden_Dawn_(Greece),20130919100101,,open,,
573618843,6456379,5,WikiProject_Council,20130919100121,20131019040026,stale,Legobot,29.0
573774929,375206,5,Manual_of_Style/Legal,20130920130050,,open,,
573775058,22454228,5,Four_Award,20130920130202,20131020140053,stale,Legobot,30.0
573775089,33555134,1,Chakra_(operating_system),20130920130215,,open,,
573775098,34115982,1,Camille_and_Kennerly_Kitt,20130920130220,,open,,
573794422,40586141,4,Requests_for_comment/Archive.is_RFC,20130920160047,20131021130037,stale,Legobot,30.0
573940273,255554,5,Naming_conventions_(television),20130921180026,20131021160015,stale,Legobot,29.0
573940297,905290,1,Bat_Ye'or,20130921180038,20131012050023,stale,Legobot,20.0
573940353,11424955,4,Reliable_sources/Noticeboard,20130921180100,20200621182546,human_close,ReyHahn,2465.0
574072987,484163,1,Liberty_University,20130922180035,20131022130020,stale,Legobot,29.0
574073042,5030553,1,Main_Page,20130922180057,20250704190112,stale,Legobot,4303.0
574073071,6276816,1,Batting_(baseball),20130922180109,,open,,
574073136,39703828,1,The_White_Queen_(TV_series),20130922180140,20131021210034,stale,Legobot,29.0
574122538,39703828,1,The_White_Queen_(TV_series),20130923020100,20131021210034,stale,Legobot,28.0
574280288,204417,1,List_of_English_monarchs,20130924050027,20180513220130,stale,Legobot,1692.0
574280334,24742129,1,Radiative_equilibrium,20130924050058,20131023200045,stale,Legobot,29.0
574280348,27486091,1,Sonic_Colors,20130924050109,,open,,
574280352,28621830,11,R_from_move,20130924050112,,open,,
574280363,39511615,1,The_Story_of_a_Small_Town,20130924050128,20131120050056,stale,Legobot,56.0
574418024,82000,1,John_Calvin,20130925050038,20131025020040,stale,Legobot,29.0
574418050,102715,1,Ayn_Rand,20130925050059,20180910050115,stale,Legobot,1811.0
574418077,997752,1,Water_fluoridation,20130925050113,,open,,
574418154,16953972,1,Lists_of_unusual_deaths,20130925050158,20131024190048,stale,Legobot,29.0
574569075,1013854,1,International_Churches_of_Christ,20130926070041,20131025230029,stale,Legobot,29.0
574569124,6511694,1,Hujr_ibn_Adi,20130926070105,20131025150041,stale,Legobot,29.0
574723576,3341815,1,Mario_Kart,20130927110036,20131026040029,stale,Legobot,28.0
574862479,188142,1,Marie_Curie,20130928120043,20131028060044,stale,Legobot,29.0
574862496,1169903,11,Infobox_album,20130928120053,20131023220040,stale,Legobot,25.0
574862511,2584369,5,Non-free_content,20130928120100,20140408060021,stale,Legobot,191.0
574862531,3086443,1,Great_Dane,20130928120109,20131027120032,stale,Legobot,28.0
574862567,3344162,1,McCollum_memo,20130928120126,,open,,
