close_rev_id,page_id,close_ts,outcome_type,closer
571745263,304283,20130906063231,stale,Legobot
571745285,456362,20130906063245,stale,Legobot
571745295,689924,20130906063258,stale,Legobot
571745355,4286386,20130906063350,stale,Legobot
571990633,15737103,20130908010100,stale,Legobot
572001548,8735480,20130908030031,stale,Legobot
572017140,1356358,20130908060025,stale,Legobot
572057456,3502266,20130908140031,stale,Legobot
572096786,24897105,20130908200050,stale,Legobot
572117337,4971470,20130908230029,stale,Legobot
572946681,639109,20130914225701,stale,Legobot
572946691,1553589,20130914225708,stale,Legobot
572946772,7764658,20130914225756,stale,Legobot
572946808,10436845,20130914225822,stale,Legobot
572946823,12108468,20130914225836,stale,Legobot
572946836,13387661,20130914225843,stale,Legobot
572946855,21861340,20130914225852,stale,Legobot
572946874,21898936,20130914225905,stale,Legobot
572946899,34655829,20130914225922,stale,Legobot
572946906,36224233,20130914225926,stale,Legobot
572946932,40108212,20130914225939,stale,Legobot
572946942,40184773,20130914225947,stale,Legobot
572946950,40213976,20130914225951,stale,Legobot
572946969,40424961,20130914230004,stale,Legobot
572946976,40459898,20130914230008,stale,Legobot
573096888,15387866,20130916020053,stale,Legobot
573096916,38966397,20130916020109,stale,Legobot
573259144,239276,20130917050026,stale,Legobot
573259198,11666851,20130917050059,stale,Legobot
573259210,22454228,20130917050108,stale,Legobot
573462255,1942283,20130918070059,stale,Legobot
573462356,44171904,20130918070139,stale,Legobot
573618818,2642105,20130919100109,stale,Legobot
573774910,172677,20130920130038,stale,Legobot
573774922,337215,20130920130046,stale,Legobot
573774953,3345319,20130920130104,stale,Legobot
573774986,6474421,20130920130119,stale,Legobot
573775028,11129768,20130920130145,stale,Legobot
573775038,14165834,20130920130152,stale,Legobot
573775112,40283532,20130920130228,stale,Legobot
573940370,38176977,20130921180109,stale,Legobot
573940399,40424961,20130921180119,stale,Legobot
574073002,1752026,20130922180041,stale,Legobot
574073114,39370437,20130922180128,stale,Legobot
574280325,12582414,20130924050051,stale,Legobot
574280360,38727316,20130924050123,stale,Legobot
574280373,40339778,20130924050134,stale,Legobot
574418089,1348150,20130925050120,stale,Legobot
574418098,4207401,20130925050128,stale,Legobot
574418124,7612860,20130925050142,stale,Legobot
574418136,15529435,20130925050147,stale,Legobot
574418175,35955576,20130925050212,stale,Legobot
574569092,1559998,20130926070048,stale,Legobot
574569151,18728140,20130926070119,stale,Legobot
574569178,40535342,20130926070130,stale,Legobot
574862616,35955576,20130928120150,stale,Legobot
575003023,2423759,20130929140031,stale,Legobot
575003079,21192341,20130929140057,stale,Legobot
575003095,30881383,20130929140108,stale,Legobot
575147723,47773,20130930150025,stale,Legobot
575147741,85236,20130930150031,stale,Legobot
575263370,2737741,20131001090056,stale,Legobot
575522709,27175,20131003020040,stale,Legobot
575522724,244300,20131003020048,stale,Legobot
575522798,5443947,20131003020139,stale,Legobot
575522823,27663179,20131003020152,stale,Legobot
575678420,334476,20131004040040,stale,Legobot
575678432,647091,20131004040046,stale,Legobot
575678472,24154323,20131004040114,stale,Legobot
575730230,29379437,20131004140052,stale,Legobot
575873669,900106,20131005160030,stale,Legobot
575873738,34112310,20131005160107,stale,Legobot
576007358,75321,20131006160022,stale,Legobot
576007388,986140,20131006160035,stale,Legobot
576088388,4514044,20131007040029,stale,Legobot
576088405,8438027,20131007040041,stale,Legobot
576088413,14178424,20131007040047,stale,Legobot
576431043,986140,20131009130030,stale,Legobot
576431097,8438027,20131009130052,stale,Legobot
576431108,13355911,20131009130058,stale,Legobot
576431124,36129722,20131009130107,stale,Legobot
576575153,75321,20131010120019,stale,Legobot
576575176,503138,20131010120030,stale,Legobot
576575209,11241527,20131010120049,stale,Legobot
576752103,24367,20131011180017,stale,Legobot
576752134,3475363,20131011180032,stale,Legobot
576752220,40472357,20131011180104,stale,Legobot
576752231,40492561,20131011180111,stale,Legobot
576817328,905290,20131012050023,stale,Legobot
576877902,8283648,20131012170042,stale,Legobot
576917418,11543841,20131012230039,stale,Legobot
577306360,63712,20131015170022,stale,Legobot
577306422,23546374,20131015170053,stale,Legobot
577528609,3366857,20131017050030,stale,Legobot
577536830,1554017,20131017070022,stale,Legobot
577536847,8111852,20131017070035,stale,Legobot
577596120,189815,20131017170022,stale,Legobot
577660640,482367,20131018030021,stale,Legobot
577775942,1878836,20131018230032,stale,Legobot
577800811,6456379,20131019040026,stale,Legobot
577976097,22454228,20131020140053,stale,Legobot
578107983,40586141,20131021130037,stale,Legobot
578128329,255554,20131021160015,stale,Legobot
578166790,39703828,20131021210034,stale,Legobot
578256435,484163,20131022130020,stale,Legobot
578449225,24742129,20131023200045,stale,Legobot
578464074,1169903,20131023220040,stale,Legobot
578587099,16953972,20131024190048,stale,Legobot
578635819,82000,20131025020040,stale,Legobot
578698880,6511694,20131025150041,stale,Legobot
578754508,1013854,20131025230029,stale,Legobot
578780924,3341815,20131026040029,stale,Legobot
578935010,5069800,20131027100040,stale,Legobot
578945580,3086443,20131027120032,stale,Legobot
579036921,5244208,20131028010034,stale,Legobot
579064346,188142,20131028060044,stale,Legobot
579248847,38589444,20131029090054,stale,Legobot
579381136,3706897,20131030010031,stale,Legobot
579415654,28178150,20131030060043,stale,Legobot
579524923,37633080,20131030210045,stale,Legobot
579538595,541713,20131030230039,stale,Legobot
579601200,40584183,20131031120045,stale,Legobot
579773710,622792,20131101190040,stale,Legobot
579836283,40693641,20131102060048,stale,Legobot
579881984,727616,20131102160029,stale,Legobot
579902051,40496798,20131102190101,stale,Legobot
579948803,27175,20131103020030,stale,Legobot
580056464,36971471,20131103210042,stale,Legobot
580163000,40713403,20131104150047,stale,Legobot
580260804,20966420,20131105050032,stale,Legobot
580298113,1002162,20131105130019,stale,Legobot
580373943,3096111,20131105230038,stale,Legobot
580504929,1833614,20131106210037,stale,Legobot
580539971,19900753,20131107020115,stale,Legobot
580983079,18232516,20131110020110,stale,Legobot
581129098,40771812,20131111030130,stale,Legobot
581327506,217990,20131112130038,stale,Legobot
581532022,40468206,20131113210119,stale,Legobot
581546914,35641892,20131113230131,stale,Legobot
581553494,12637,20131114000040,stale,Legobot
581842001,3504931,20131116000041,stale,Legobot
581871913,40316470,20131116060059,stale,Legobot
582116706,1182777,20131117230051,stale,Legobot
582205727,352781,20131118140044,stale,Legobot
582380317,1716817,20131119150049,stale,Legobot
582451064,11043148,20131120000206,stale,Legobot
582469957,38678499,20131120030053,stale,Legobot
582480412,36548469,20131120050049,stale,Legobot
582480426,39511615,20131120050056,stale,Legobot
582570149,5015389,20131120200046,stale,Legobot
582660741,40860074,20131121120302,stale,Legobot
582685784,1714725,20131121160158,stale,Legobot
582860692,38394828,20131122200057,stale,Legobot
582906466,425905,20131123030037,stale,Legobot
582944118,40878910,20131123120305,stale,Legobot
582948993,1063886,20131123130049,stale,Legobot
583156365,40892791,20131124230255,stale,Legobot
583200347,21192341,20131125070058,stale,Legobot
583270711,5437197,20131125190045,stale,Legobot
583316304,19896781,20131126010032,stale,Legobot
583478971,27272091,20131127030055,stale,Legobot
583503882,29884335,20131127080330,stale,Legobot
583515734,28144560,20131127110052,stale,Legobot
583542126,15221353,20131127160040,stale,Legobot
583722400,40316470,20131129000055,stale,Legobot
583977252,5893658,20131201000107,stale,Legobot
584118877,1810375,20131201220024,stale,Legobot
584171359,440734,20131202060028,stale,Legobot
584244424,1810375,20131202190023,stale,Legobot
584269692,22135613,20131202220046,stale,Legobot
