wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
en.wikipedia,Wikipedia:Attack page,2005,29883349,86,4,,,,,
en.wikipedia,Wikipedia:Attack page,2006,88995281,111,4,25,0,0.9416,0.75,0.75
en.wikipedia,Wikipedia:Attack page,2007,179196797,316,11,207,2,0.8311,0.5,0.1818
en.wikipedia,Wikipedia:Attack page,2008,257328948,276,11,21,61,0.9598,0.8182,0.7273
en.wikipedia,Wikipedia:Attack page,2009,333102185,289,12,25,12,0.9812,0.8182,0.75
en.wikipedia,Wikipedia:Attack page,2010,394006505,329,14,58,18,0.9738,0.8333,0.7857
en.wikipedia,Wikipedia:Attack page,2011,450623676,320,15,19,28,0.9832,0.7857,0.7333
en.wikipedia,Wikipedia:Attack page,2012,524930871,320,15,0,0,1.0,0.8667,0.8667
en.wikipedia,Wikipedia:Attack page,2013,576738779,320,15,0,0,1.0,1.0,1.0
en.wikipedia,Wikipedia:Attack page,2014,636782001,333,15,13,0,0.9965,1.0,1.0
en.wikipedia,Wikipedia:Attack page,2015,692186621,339,16,6,0,0.9984,1.0,0.9375
en.wikipedia,Wikipedia:Attack page,2016,756765858,346,16,13,6,0.9946,1.0,1.0
en.wikipedia,Wikipedia:Attack page,2017,806635545,337,16,23,32,0.9829,0.9375,0.9375
en.wikipedia,Wikipedia:Attack page,2018,870619727,336,16,1,2,0.9992,0.9375,0.9375
en.wikipedia,Wikipedia:Attack page,2019,917458290,336,16,0,0,1.0,1.0,1.0
en.wikipedia,Wikipedia:Attack page,2020,994218578,329,16,0,7,0.9984,0.875,0.875
en.wikipedia,Wikipedia:Attack page,2021,1019550040,328,16,4,5,0.9976,0.9375,0.9375
en.wikipedia,Wikipedia:Attack page,2022,1107045828,324,16,0,4,0.999,0.9375,1.0
en.wikipedia,Wikipedia:Attack page,2023,1192645631,316,15,0,8,0.9978,0.9375,1.0
en.wikipedia,Wikipedia:Attack page,2024,1235150355,316,15,0,0,1.0,1.0,1.0
