wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
en.wikipedia,Wikipedia:Policies and guidelines,2001,341065451,1397,69,,,,,
en.wikipedia,Wikipedia:Policies and guidelines,2002,575028,594,31,145,948,0.869,0.0435,0.129
en.wikipedia,Wikipedia:Policies and guidelines,2003,2099074,587,32,36,43,0.989,0.7419,0.7188
en.wikipedia,Wikipedia:Policies and guidelines,2004,9042309,775,40,312,124,0.9275,0.2812,0.225
en.wikipedia,Wikipedia:Policies and guidelines,2005,33409322,769,39,166,172,0.9456,0.6,0.6154
en.wikipedia,Wikipedia:Policies and guidelines,2006,97427086,1342,82,723,150,0.8862,0.3333,0.1341
en.wikipedia,Wikipedia:Policies and guidelines,2007,180895976,1332,72,276,286,0.9648,0.3659,0.4444
en.wikipedia,Wikipedia:Policies and guidelines,2008,259941855,2230,125,1100,202,0.9263,0.3472,0.208
en.wikipedia,Wikipedia:Policies and guidelines,2009,334590372,1944,117,459,745,0.958,0.136,0.1624
en.wikipedia,Wikipedia:Policies and guidelines,2010,402871007,2742,153,867,69,0.9887,0.7009,0.5163
en.wikipedia,Wikipedia:Policies and guidelines,2011,468364424,2760,155,118,100,0.9981,0.8301,0.8258
en.wikipedia,Wikipedia:Policies and guidelines,2012,528865694,2824,159,117,53,0.9983,0.9484,0.9434
en.wikipedia,Wikipedia:Policies and guidelines,2013,587969865,2899,160,77,2,0.9995,0.9874,0.9812
en.wikipedia,Wikipedia:Policies and guidelines,2014,640412220,2901,160,15,13,0.9998,0.9938,0.9812
en.wikipedia,Wikipedia:Policies and guidelines,2015,676277670,2909,160,18,10,0.9999,0.9812,0.9812
en.wikipedia,Wikipedia:Policies and guidelines,2016,757016567,2872,158,59,96,0.9987,0.9,0.9367
en.wikipedia,Wikipedia:Policies and guidelines,2017,815811129,2857,156,27,42,0.9994,0.9557,0.9679
en.wikipedia,Wikipedia:Policies and guidelines,2018,874916523,2835,155,4,26,0.9998,0.9615,0.9677
en.wikipedia,Wikipedia:Policies and guidelines,2019,927799922,2867,158,60,28,0.9986,0.9097,0.8987
en.wikipedia,Wikipedia:Policies and guidelines,2020,996654697,2862,158,31,36,0.9993,0.9051,0.8987
en.wikipedia,Wikipedia:Policies and guidelines,2021,1061592185,2963,161,132,31,0.9991,0.9494,0.9379
en.wikipedia,Wikipedia:Policies and guidelines,2022,1127933799,2978,162,21,6,0.9998,0.9565,0.9506
en.wikipedia,Wikipedia:Policies and guidelines,2023,1191293624,2967,162,0,11,0.9999,0.9938,0.9938
en.wikipedia,Wikipedia:Policies and guidelines,2024,1263419659,2915,163,122,174,0.9968,0.7901,0.7975
en.wikipedia,Wikipedia:Policies and guidelines,2025,1327621627,413,14,33,2535,0.7771,0.0736,0.7857
en.wikipedia,Wikipedia:Policies and guidelines,2026,1353818960,410,14,0,3,0.9994,0.9286,0.9286
