wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
fr.wikipedia,Wikipédia:Règles et recommandations,2002,24478,648,26,,,,,
fr.wikipedia,Wikipédia:Règles et recommandations,2003,215720,645,26,165,168,0.9309,0.2308,0.3462
fr.wikipedia,Wikipédia:Règles et recommandations,2004,1286867,1289,54,667,23,0.9454,0.4231,0.2222
fr.wikipedia,Wikipédia:Règles et recommandations,2005,4603523,1313,54,45,21,0.9974,0.8519,0.8333
fr.wikipedia,Wikipédia:Règles et recommandations,2006,12364640,1346,54,55,22,0.9968,0.9444,0.9074
fr.wikipedia,Wikipédia:Règles et recommandations,2007,22931318,1360,56,75,61,0.9939,0.8148,0.8036
fr.wikipedia,Wikipédia:Règles et recommandations,2008,36479339,492,25,41,909,0.9136,0.2679,0.68
fr.wikipedia,Wikipédia:Règles et recommandations,2009,48312448,437,22,14,69,0.987,0.72,0.8182
fr.wikipedia,Wikipédia:Règles et recommandations,2010,59692291,437,22,0,0,1.0,0.7727,0.7727
fr.wikipedia,Wikipédia:Règles et recommandations,2011,72079340,437,22,1,1,0.9997,0.9545,0.9545
fr.wikipedia,Wikipédia:Règles et recommandations,2012,85089415,440,22,10,7,0.9969,0.9545,0.9091
fr.wikipedia,Wikipédia:Règles et recommandations,2013,97492961,365,19,0,75,0.9782,0.8636,1.0
fr.wikipedia,Wikipédia:Règles et recommandations,2014,107835804,365,19,0,0,1.0,1.0,1.0
fr.wikipedia,Wikipédia:Règles et recommandations,2015,118297152,365,19,0,0,1.0,1.0,1.0
fr.wikipedia,Wikipédia:Règles et recommandations,2016,131132003,650,27,333,48,0.9252,0.5263,0.3704
fr.wikipedia,Wikipédia:Règles et recommandations,2018,152173271,737,30,201,114,0.9527,0.4815,0.4
fr.wikipedia,Wikipédia:Règles et recommandations,2019,159853729,737,30,1,1,0.9999,1.0,1.0
fr.wikipedia,Wikipédia:Règles et recommandations,2020,174114206,728,30,10,19,0.998,0.8667,0.9
fr.wikipedia,Wikipédia:Règles et recommandations,2021,189250525,746,30,18,0,0.9989,1.0,1.0
fr.wikipedia,Wikipédia:Règles et recommandations,2022,199653978,841,33,95,0,0.9931,1.0,0.9091
fr.wikipedia,Wikipédia:Règles et recommandations,2023,209555272,841,33,1,1,0.9999,1.0,1.0
fr.wikipedia,Wikipédia:Règles et recommandations,2024,218767209,889,35,48,0,0.9983,1.0,0.9429
fr.wikipedia,Wikipédia:Règles et recommandations,2025,231127977,893,35,8,4,0.9995,0.9429,0.9429
