wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2011,39865453,341,4,,,,,
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2012,41818364,341,4,0,0,1.0,1.0,1.0
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2013,49249018,336,4,6,11,0.9856,1.0,1.0
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2015,54845863,336,4,0,0,1.0,1.0,1.0
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2016,61261684,337,4,2,1,0.9975,1.0,1.0
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2020,79709771,337,4,0,0,1.0,1.0,1.0
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2021,86657013,262,2,112,187,0.6476,0.0,0.0
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2022,91364759,262,2,0,0,1.0,0.5,0.5
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2023,97535890,262,2,0,0,1.0,1.0,1.0
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2026,109419246,262,2,0,0,1.0,1.0,1.0
