statement_id,atomicity,declarative,concreteness,scope,faithfulness,translation_fidelity,source_grounding,overall,flag_reason
nlwiki:5097832:1,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:5097832:2,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:5097832:3,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:5097832:4,pass,pass,pass,pass,note,pass,pass,ok,superseded by this vote; mark as historical state
nlwiki:5097832:5,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:5097832:6,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:5097832:7,weak,pass,pass,pass,pass,pass,pass,revise,lists 5 procedures — candidate to split (overlap-OK)
nlwiki:5097832:8,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:5097832:9,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:5097832:10,pass,pass,pass,pass,pass,pass,pass,ok,
nlwiki:5097832:11,pass,pass,pass,pass,pass,pass,pass,ok,
