wiki,title,ts,user,delta,summary,reverted,is_revert,same_page_before,same_page_after,series_n,series_pages,series_id,diff_url
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2011-02-25,Basvb,115,/* Vertrouwelijkheid */ volgens mij wordt dit bedoeld > tekstuele verduidelijking,False,False,False,True,1,Wikipedia:Regelingen rond moderatoren,Basvb@2011-02-25,https://nl.wikipedia.org/wiki/Special:Diff/24572453
nlwiki,Wikipedia:Regelingen rond moderatoren,2011-02-28,Basvb,-96,per http://nl.wikipedia.org/w/index.php?title=Overleg_Wikipedia:Regelingen_rond_moderatoren&oldid=24580259,False,False,True,True,1,Wikipedia:Richtlijnen voor moderatoren,Basvb@2011-02-28,https://nl.wikipedia.org/wiki/Special:Diff/24630072
nlwiki,Wikipedia:Regelingen rond moderatoren,2011-02-28,Basvb,1,/* Procedure voor aanvraag moderatorschap */ .,False,False,True,False,1,Wikipedia:Richtlijnen voor moderatoren,Basvb@2011-02-28,https://nl.wikipedia.org/wiki/Special:Diff/24630095
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2011-02-28,Basvb,-8,per http://nl.wikipedia.org/w/index.php?title=Overleg_Wikipedia:Richtlijnen_voor_moderatoren&oldid=24580248,False,False,True,False,1,Wikipedia:Regelingen rond moderatoren,Basvb@2011-02-28,https://nl.wikipedia.org/wiki/Special:Diff/24630055
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2004-09-01,Bemoeial,200,,False,False,False,True,1,Wikipedia:Stemprocedure,Bemoeial@2004-09-01,https://nl.wikipedia.org/wiki/Special:Diff/456278
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2004-09-01,Bemoeial,-62,,False,False,True,True,1,Wikipedia:Stemprocedure,Bemoeial@2004-09-01,https://nl.wikipedia.org/wiki/Special:Diff/456282
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2004-09-01,Bemoeial,-10,,False,False,True,True,1,Wikipedia:Stemprocedure,Bemoeial@2004-09-01,https://nl.wikipedia.org/wiki/Special:Diff/456301
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2004-09-01,Bemoeial,9,,False,False,True,True,1,Wikipedia:Stemprocedure,Bemoeial@2004-09-01,https://nl.wikipedia.org/wiki/Special:Diff/476075
nlwiki,Wikipedia:Stemprocedure,2004-09-04,Bemoeial,31,,False,False,True,False,1,Wikipedia:Richtlijnen voor moderatoren,Bemoeial@2004-09-04,https://nl.wikipedia.org/wiki/Special:Diff/570041
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2004-09-09,Bemoeial,-22,revert naar versie 15 juli 2004 - aanpassing mbt. speciaal:Listadmins en introductiekopje,False,False,True,False,1,Wikipedia:Stemprocedure,Bemoeial@2004-09-09,https://nl.wikipedia.org/wiki/Special:Diff/476808
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2004-10-28,Bemoeial,-21,"- :Versie van 31 maart 2004 - De ""verwijderen op verzoek auteur en bureaucraat"" editie -  zie overleg; klopt inderdaad niet; Dit is GEEN inhoudelijke wijziging",False,False,False,True,1,Wikipedia:Stemprocedure,Bemoeial@2004-10-28,https://nl.wikipedia.org/wiki/Special:Diff/568808
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2004-10-28,Bemoeial,5,2004,False,False,True,False,1,Wikipedia:Stemprocedure,Bemoeial@2004-10-28,https://nl.wikipedia.org/wiki/Special:Diff/652390
nlwiki,Wikipedia:Stemprocedure,2004-10-30,Bemoeial,75,link naar aanpassing /klad,False,False,False,True,1,Wikipedia:Richtlijnen voor moderatoren,Bemoeial@2004-10-30,https://nl.wikipedia.org/wiki/Special:Diff/575065
nlwiki,Wikipedia:Stemprocedure,2004-10-31,Bemoeial,61,,False,False,True,False,1,Wikipedia:Richtlijnen voor moderatoren,Bemoeial@2004-10-31,https://nl.wikipedia.org/wiki/Special:Diff/585893
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2005-08-03,Bemoeial,45,,False,False,False,True,1,Wikipedia:Stemprocedure,Bemoeial@2005-08-03,https://nl.wikipedia.org/wiki/Special:Diff/1723884
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2005-08-03,Bemoeial,-45,revert - die bedoelde ik niet,False,False,True,False,1,Wikipedia:Stemprocedure,Bemoeial@2005-08-03,https://nl.wikipedia.org/wiki/Special:Diff/1723885
nlwiki,Wikipedia:Stemprocedure,2005-08-03,Bemoeial,4,,False,False,False,False,1,Wikipedia:Richtlijnen voor moderatoren,Bemoeial@2005-08-03,https://nl.wikipedia.org/wiki/Special:Diff/1723874
nlwiki,Wikipedia:Arbitragecommissie/Reglementen,2018-10-17,CaAl,242,per [[Wikipedia:Stemlokaal/Stemgerechtigde_gebruikers]],False,False,False,False,3,Wikipedia:Regelingen rond moderatoren; Wikipedia:Richtlijnen voor moderatoren; Wikipedia:Stemlokaal/Stemgerechtigde gebruikers,CaAl@2018-10-17,https://nl.wikipedia.org/wiki/Special:Diff/52473290
nlwiki,Wikipedia:Regelingen rond moderatoren,2018-10-17,CaAl,-175,per [[Wikipedia:Stemlokaal/Stemgerechtigde_gebruikers]],False,False,False,False,3,Wikipedia:Arbitragecommissie/Reglementen; Wikipedia:Richtlijnen voor moderatoren; Wikipedia:Stemlokaal/Stemgerechtigde gebruikers,CaAl@2018-10-17,https://nl.wikipedia.org/wiki/Special:Diff/52473280
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2018-10-17,CaAl,182,per [[Wikipedia:Stemlokaal/Stemgerechtigde_gebruikers]],False,False,False,False,3,Wikipedia:Arbitragecommissie/Reglementen; Wikipedia:Regelingen rond moderatoren; Wikipedia:Stemlokaal/Stemgerechtigde gebruikers,CaAl@2018-10-17,https://nl.wikipedia.org/wiki/Special:Diff/52473287
nlwiki,Wikipedia:Stemlokaal/Stemgerechtigde gebruikers,2018-10-17,CaAl,54,/* Voor: deze extra eisen aan het stemrecht worden toegevoegd */ afgelopen,False,False,False,True,3,Wikipedia:Arbitragecommissie/Reglementen; Wikipedia:Regelingen rond moderatoren; Wikipedia:Richtlijnen voor moderatoren,CaAl@2018-10-17,https://nl.wikipedia.org/wiki/Special:Diff/52473248
nlwiki,Wikipedia:Stemlokaal/Stemgerechtigde gebruikers,2018-10-17,CaAl,54,/* Tegen: geen verandering van de huidige situatie */,False,False,True,True,3,Wikipedia:Arbitragecommissie/Reglementen; Wikipedia:Regelingen rond moderatoren; Wikipedia:Richtlijnen voor moderatoren,CaAl@2018-10-17,https://nl.wikipedia.org/wiki/Special:Diff/52473249
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2005-04-09,Chris,37,+ verwijzing naar [[Wikipedia:Blokkeringsmeldingen]],False,False,False,True,1,Wikipedia:Stemprocedure,Chris@2005-04-09,https://nl.wikipedia.org/wiki/Special:Diff/986267
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2005-04-09,Chris,-37,Wijzigingen door CE hersteld tot de versie na de laatste wijziging door Oliphaunt.,False,False,True,False,1,Wikipedia:Stemprocedure,Chris@2005-04-09,https://nl.wikipedia.org/wiki/Special:Diff/1361772
nlwiki,Wikipedia:Stemprocedure,2005-04-10,Chris,14,+sjabloon reglement,False,False,False,False,1,Wikipedia:Richtlijnen voor moderatoren,Chris@2005-04-10,https://nl.wikipedia.org/wiki/Special:Diff/1398454
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2005-07-09,Ellywa,33,/* Het gebruiken van uw macht */ een wijziging snel terugdraaien,False,False,False,True,1,Wikipedia:Regelingen rond moderatoren,Ellywa@2005-07-09,https://nl.wikipedia.org/wiki/Special:Diff/1544476
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2005-07-09,Ellywa,-6,datum versie,False,False,True,False,1,Wikipedia:Regelingen rond moderatoren,Ellywa@2005-07-09,https://nl.wikipedia.org/wiki/Special:Diff/1544480
nlwiki,Wikipedia:Regelingen rond moderatoren,2005-07-12,Ellywa,135,"Moderator geworden in het 2e kwartaal 2005, status te bevestigen in juli 2006",False,False,False,False,1,Wikipedia:Richtlijnen voor moderatoren,Ellywa@2005-07-12,https://nl.wikipedia.org/wiki/Special:Diff/1564060
nlwiki,Wikipedia:Stemlokaal/Stemgerechtigde gebruikers,2018-08-29,Encycloon,47,Preciezer en spelfoutje,False,False,False,False,1,Wikipedia:Stemprocedure,Encycloon@2018-08-29,https://nl.wikipedia.org/wiki/Special:Diff/52164213
nlwiki,Wikipedia:Stemprocedure,2018-08-29,Encycloon,11,/* Artikel 3. Wie zijn stemgerechtigd? */ Anders sluit je letterlijk genomen iedereen uit die langer dan twee weken actief is,False,False,False,False,1,Wikipedia:Stemlokaal/Stemgerechtigde gebruikers,Encycloon@2018-08-29,https://nl.wikipedia.org/wiki/Special:Diff/52164205
nlwiki,Wikipedia:Regelingen rond moderatoren,2019-10-20,Encycloon,69,"/* Activiteitscriterium */ poets en verduidelijking periode, voor context zie https://nl.wikipedia.org/w/index.php?title=Wikipedia:De_kroeg&oldid=54810235#Graag_actie_hierop",False,False,False,False,1,Wikipedia:Richtlijnen voor moderatoren,Encycloon@2019-10-20,https://nl.wikipedia.org/wiki/Special:Diff/54811247
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2019-10-23,Encycloon,33,/* Een geregistreerde gebruiker blokkeren */ link naar Arbitragecommissie,False,False,True,False,1,Wikipedia:Regelingen rond moderatoren,Encycloon@2019-10-23,https://nl.wikipedia.org/wiki/Special:Diff/54837299
nlwiki,Wikipedia:Regelingen rond moderatoren,2019-10-26,Encycloon,5,/* Activiteitscriterium */ verduidelijking periode (voor totstandkoming zie https://nl.wikipedia.org/w/index.php?title=Overleg_gebruiker:Encycloon&oldid=54860106#Verduidelijking_activiteitscriterium),False,False,False,False,1,Wikipedia:Richtlijnen voor moderatoren,Encycloon@2019-10-26,https://nl.wikipedia.org/wiki/Special:Diff/54860207
nlwiki,Wikipedia:Arbitragecommissie/Reglementen,2020-07-05,Encycloon,16,"/* Artikel 5: Procedure bij een aangebrachte zaak */ toevoeging, per [[Wikipedia:Stemlokaal/Deelblokkeren]]",False,False,False,True,1,Wikipedia:Richtlijnen voor moderatoren,Encycloon@2020-07-05,https://nl.wikipedia.org/wiki/Special:Diff/56671840
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2020-07-05,Encycloon,-10,/* Een gebruiker deelblokkeren */ is onder het kopje erboven reeds geïntroduceerd,False,False,True,False,1,Wikipedia:Arbitragecommissie/Reglementen,Encycloon@2020-07-05,https://nl.wikipedia.org/wiki/Special:Diff/56671834
nlwiki,Wikipedia:Regelingen rond moderatoren,2010-09-06,Erwin85TBot,-17,{{Semibeveiligd}} weggehaald per [[Wikipedia:Te verwijderen sjablonen/Toegevoegd 2010 week 30]],False,False,False,False,2,Wikipedia:Richtlijnen voor moderatoren; Wikipedia:Stemprocedure,Erwin85TBot@2010-09-06,https://nl.wikipedia.org/wiki/Special:Diff/22538806
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2010-09-06,Erwin85TBot,-17,{{Semibeveiligd}} weggehaald per [[Wikipedia:Te verwijderen sjablonen/Toegevoegd 2010 week 30]],False,False,False,False,2,Wikipedia:Regelingen rond moderatoren; Wikipedia:Stemprocedure,Erwin85TBot@2010-09-06,https://nl.wikipedia.org/wiki/Special:Diff/22538571
nlwiki,Wikipedia:Stemprocedure,2010-09-06,Erwin85TBot,-17,{{Semibeveiligd}} weggehaald per [[Wikipedia:Te verwijderen sjablonen/Toegevoegd 2010 week 30]],False,False,False,False,2,Wikipedia:Regelingen rond moderatoren; Wikipedia:Richtlijnen voor moderatoren,Erwin85TBot@2010-09-06,https://nl.wikipedia.org/wiki/Special:Diff/22538775
nlwiki,Wikipedia:Regelingen rond moderatoren,2008-05-10,Erwin,61,+Rudolphous,False,False,True,False,1,Wikipedia:Richtlijnen voor moderatoren,Erwin@2008-05-10,https://nl.wikipedia.org/wiki/Special:Diff/12316759
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2008-05-11,Erwin,53,"/* Een geregistreerde gebruiker blokkeren */ Testen kan ook op [[Gebruiker:Blokpop]]; Aangezien dit niet ingrijpend is, heb ik het niet op de overlegpagina aangekaart. Voel je daarom vrij te reverten.",False,False,False,False,1,Wikipedia:Regelingen rond moderatoren,Erwin@2008-05-11,https://nl.wikipedia.org/wiki/Special:Diff/12323847
nlwiki,Wikipedia:Stemprocedure,2007-01-12,Hajo,1,/* wat gebeurt er met de uitslag */ sp,False,False,False,False,1,Wikipedia:Arbitragecommissie/Reglementen,Hajo@2007-01-12,https://nl.wikipedia.org/wiki/Special:Diff/6505482
nlwiki,Wikipedia:Arbitragecommissie/Reglementen,2007-01-14,Hajo,19,cat aangepast,False,False,False,False,1,Wikipedia:Stemprocedure,Hajo@2007-01-14,https://nl.wikipedia.org/wiki/Special:Diff/6530488
nlwiki,Wikipedia:Arbitragecommissie/Reglementen,2007-01-18,Hajo,44,+cat,False,False,False,True,1,Wikipedia:Stemprocedure,Hajo@2007-01-18,https://nl.wikipedia.org/wiki/Special:Diff/6578818
nlwiki,Wikipedia:Arbitragecommissie/Reglementen,2007-08-24,Melsaran,-5,{{vast}},False,False,False,False,3,Wikipedia:Regelingen rond moderatoren; Wikipedia:Richtlijnen voor moderatoren; Wikipedia:Stemprocedure,Melsaran@2007-08-24,https://nl.wikipedia.org/wiki/Special:Diff/9052012
nlwiki,Wikipedia:Regelingen rond moderatoren,2007-08-24,Melsaran,-5,{{vast}},False,False,False,False,3,Wikipedia:Arbitragecommissie/Reglementen; Wikipedia:Richtlijnen voor moderatoren; Wikipedia:Stemprocedure,Melsaran@2007-08-24,https://nl.wikipedia.org/wiki/Special:Diff/9052011
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2007-08-24,Melsaran,-5,{{vast}},False,False,False,True,3,Wikipedia:Arbitragecommissie/Reglementen; Wikipedia:Regelingen rond moderatoren; Wikipedia:Stemprocedure,Melsaran@2007-08-24,https://nl.wikipedia.org/wiki/Special:Diff/9052005
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2007-08-24,Melsaran,-1,{{richtlijn}},False,False,True,False,3,Wikipedia:Arbitragecommissie/Reglementen; Wikipedia:Regelingen rond moderatoren; Wikipedia:Stemprocedure,Melsaran@2007-08-24,https://nl.wikipedia.org/wiki/Special:Diff/9052642
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2007-08-24,Melsaran,-6,"1) het sjabloon vast heette eerst reglement, dus dat blijft hetzelfde; 2) zelfs de titel bevat het woord ""richtlijnen""",False,False,False,False,3,Wikipedia:Arbitragecommissie/Reglementen; Wikipedia:Regelingen rond moderatoren; Wikipedia:Stemprocedure,Melsaran@2007-08-24,https://nl.wikipedia.org/wiki/Special:Diff/9053098
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2007-08-24,Melsaran,-19,"oké, dit is het sjabloon zoals geplaatst door Michiel1972 ({{richtlijn}} was de vroegere titel van {{vast}})",False,False,False,False,3,Wikipedia:Arbitragecommissie/Reglementen; Wikipedia:Regelingen rond moderatoren; Wikipedia:Stemprocedure,Melsaran@2007-08-24,https://nl.wikipedia.org/wiki/Special:Diff/9053210
nlwiki,Wikipedia:Stemprocedure,2007-08-24,Melsaran,-5,{{vast}},False,False,False,True,3,Wikipedia:Arbitragecommissie/Reglementen; Wikipedia:Regelingen rond moderatoren; Wikipedia:Richtlijnen voor moderatoren,Melsaran@2007-08-24,https://nl.wikipedia.org/wiki/Special:Diff/9052007
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2009-04-01,Metzujan,3,/* Een pagina direct verwijderen */ +de,False,False,False,False,1,Wikipedia:Regelingen rond moderatoren,Metzujan@2009-04-01,https://nl.wikipedia.org/wiki/Special:Diff/16259653
nlwiki,Wikipedia:Regelingen rond moderatoren,2009-04-02,Metzujan,1,/* Procedure voor aanvraag moderatorschap */ Aanpassing volgens meerderheid peiling zie Wikipedia:Opinielokaal/Aanpassen aanmeldingsvoorwaarden moderatoren‎,False,False,False,True,1,Wikipedia:Richtlijnen voor moderatoren,Metzujan@2009-04-02,https://nl.wikipedia.org/wiki/Special:Diff/16268040
nlwiki,Wikipedia:Arbitragecommissie/Reglementen,2006-12-04,Niels,-33,"/* Verkiezing van leden van de Arbitragecommissie */ -tenzij hij/zij ook moderator is (overbodig, staat er net boven ook al, plus licht verwarrend, kan misschien betekenen dat moderators die lid zijn.",False,False,False,False,1,Wikipedia:Richtlijnen voor moderatoren,Niels@2006-12-04,https://nl.wikipedia.org/wiki/Special:Diff/5999770
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2006-12-04,Niels,-39,fix opmaak nuwegstuk +datum laatste inhoudelijke aanpassing,False,False,False,False,1,Wikipedia:Arbitragecommissie/Reglementen,Niels@2006-12-04,https://nl.wikipedia.org/wiki/Special:Diff/6007174
nlwiki,Wikipedia:Regelingen rond moderatoren,2007-07-29,Niels,27,"/* Moderator geworden in het 3e kwartaal 2007, status te bevestigen in juli 2008 */ nou dan zet ik mezelf hier ook maar bij he",False,False,False,True,1,Wikipedia:Richtlijnen voor moderatoren,Niels@2007-07-29,https://nl.wikipedia.org/wiki/Special:Diff/8809770
nlwiki,Wikipedia:Regelingen rond moderatoren,2007-07-30,Niels,34,"/* Moderator geworden in het 3e kwartaal 2007, status te bevestigen in juli 2008 */ +Chaemera",False,False,True,False,1,Wikipedia:Richtlijnen voor moderatoren,Niels@2007-07-30,https://nl.wikipedia.org/wiki/Special:Diff/8811166
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2007-07-30,Niels,16,/* Een pagina direct verwijderen */ +span,False,False,False,False,1,Wikipedia:Regelingen rond moderatoren,Niels@2007-07-30,https://nl.wikipedia.org/wiki/Special:Diff/8819982
nlwiki,Wikipedia:Stemprocedure,2010-05-11,Niels,-82,/* Artikel 3. Wie zijn stemgerechtigd? */ dat kan ook wel via Speciaal:Bijdragen,False,False,False,False,1,Wikipedia:Richtlijnen voor moderatoren,Niels@2010-05-11,https://nl.wikipedia.org/wiki/Special:Diff/21132417
nlwiki,Wikipedia:Richtlijnen voor moderatoren,2010-05-18,Niels,245,/* Een versie van een pagina of een logboekvermelding verbergen */ heel beknopt,False,False,True,False,1,Wikipedia:Stemprocedure,Niels@2010-05-18,https://nl.wikipedia.org/wiki/Special:Diff/21228149
nlwiki,Wikipedia:Regelingen rond moderatoren,2005-09-20,Oscar,57,/* Opiniepeiling na een jaar */ +middels een ''peiling'' en verduidelijkingen,False,False,True,True,1,Wikipedia:Richtlijnen voor moderatoren,Oscar@2005-09-20,https://nl.wikipedia.org/wiki/Special:Diff/2045668
