node_id,wiki,title,admitted_via,degree,bucket,origin,disposition
dewiki:645942,dewiki,Datenschutz,iw_qid,0,legal_boilerplate,wmf,keep
dewiki:4731597,dewiki,GNU_Free_Documentation_License/1.3,iw_qid,0,legal_boilerplate,wmf,keep
dewiki:6506037,dewiki,Sperrprüfung,iw_qid,0,emergency_operational,community,keep
dewiki:4831372,dewiki,Verhalten_im_Notfall,iw_qid,0,emergency_operational,community,keep
enwiki:6256591,enwiki,Naming_conventions_(football_in_Australia),status_template,0,style_other,community,keep
enwiki:3812618,enwiki,Survey,iw_qid,0,qid_noise,community,review_content
enwiki:1030587,enwiki,Troll,iw_qid,0,qid_noise,community,review_content
enwiki:17712549,enwiki,WikiProject_Aircraft/Naming,status_template,0,style_other,community,keep
eswiki:714870,eswiki,Café/Archivo/Propuestas/Actual,overview,0,container_index,community,review_content
eswiki:2317743,eswiki,"Categorías,_listas_y_plantillas_de_navegación",iw_qid,0,container_index,community,review_content
eswiki:3758130,eswiki,Espacio_de_nombres_Wikipedia,overview,0,container_index,community,review_content
eswiki:237284,eswiki,Política_de_privacidad,iw_qid,0,legal_boilerplate,wmf,keep
eswiki:2244798,eswiki,Portal/Directorio,iw_qid,0,container_index,community,review_content
eswiki:4619552,eswiki,Principales_plantillas,overview,0,container_index,community,review_content
eswiki:1188861,eswiki,Reutilización,iw_qid,0,legal_boilerplate,wmf,keep
eswiki:2902471,eswiki,Transliteración/Griego,iw_qid,0,transliteration,community,keep
frwiki:12581226,frwiki,Classement_musical,iw_qid,0,style_other,community,keep
frwiki:4794682,frwiki,Convention_sur_les_glossaires,iw_qid,0,style_other,community,keep
frwiki:6627204,frwiki,Conventions_de_style_(articles_sur_des_sujets_médicaux),iw_qid,0,style_other,community,keep
frwiki:7739743,frwiki,Que_faire_en_cas_d'urgence_?,iw_qid,0,emergency_operational,community,keep
frwiki:10895605,frwiki,Respect_de_l'obligation_de_transparence_à_vérifier/En_cours,iw_qid,0,legal_boilerplate,wmf,keep
frwiki:13939216,frwiki,Romanisation_de_l'ukrainien,iw_qid,0,transliteration,community,keep
jawiki:96520,jawiki,アルゴリズムの表記法,iw_qid,0,style_other,community,keep
jawiki:5142170,jawiki,パスワードの要件,iw_qid,0,emergency_operational,community,keep
jawiki:3580168,jawiki,プライバシー・ポリシー,iw_qid,0,legal_boilerplate,wmf,keep
jawiki:1052201,jawiki,ヘルプ,iw_qid,0,qid_noise,community,review_content
jawiki:1237911,jawiki,外来語表記法/ウクライナ語,iw_qid,0,transliteration,community,keep
nlwiki:500871,nlwiki,Alfabetiseren,overview,0,style_other,community,keep
nlwiki:63651,nlwiki,Categorieënschema,iw_qid,0,container_index,community,review_content
nlwiki:22869,nlwiki,GNU_Vrije_Documentatie_Licentie_in_het_Nederlands,iw_qid,0,legal_boilerplate,wmf,keep
nlwiki:30167,nlwiki,Leeswaarschuwing,iw_qid,0,legal_boilerplate,wmf,keep
nlwiki:1628761,nlwiki,Misbruikfilter/Richtlijn,overview,0,emergency_operational,community,keep
nlwiki:5793129,nlwiki,Tijdelijk_account_voor_gebruikers_zonder_login,wikidata,0,emergency_operational,community,keep
