wiki,page_id,year,title,namespace,is_redirect,wikidata_qid,confidence,admitted_via,status_tier
dewiki,1234,2005,Grundprinzipien,4,0,,core,inherited,
dewiki,3542,2005,Neutraler_Standpunkt,4,0,,core,inherited,
dewiki,4319,2005,Namenskonventionen,4,0,,core,inherited,
dewiki,5484,2005,Formatierung,4,0,,core,inherited,
dewiki,5656,2005,Was_Wikipedia_nicht_ist,4,0,,core,inherited,
dewiki,7637,2005,Begriffsklärung,4,0,,core,inherited,
dewiki,7763,2005,Administratoren,4,0,,core,inherited,
dewiki,8082,2005,Fremdwortformatierung,4,0,,core,inherited,
dewiki,8085,2005,Verlinken,4,0,,core,inherited,
dewiki,8097,2005,Datumskonventionen,4,0,,core,inherited,
dewiki,8130,2005,Wie_schreibe_ich_gute_Artikel,4,0,,core,inherited,
dewiki,11506,2005,Listen,4,0,,core,inherited,
dewiki,18339,2005,Spoilerwarnung,4,0,,core,inherited,
dewiki,22673,2005,Wikiquette,4,0,,core,inherited,
dewiki,23138,2005,Literatur,4,0,,core,inherited,
dewiki,24927,2005,Formatvorlage_Begriffsklärung,4,0,,core,inherited,
dewiki,26326,2005,Archiv/Richtlinien_für_die_Namensgebung:Singular-Plural-Debatte,4,0,,core,inherited,
dewiki,26677,2005,Wikipedia_ist_kein_Wörterbuch,4,0,,core,inherited,
dewiki,27959,2005,Assoziative_Verweise,4,0,,core,inherited,
dewiki,31387,2005,Zitate,4,0,,core,inherited,
dewiki,33092,2005,Rechtschreibung,4,0,,core,inherited,
dewiki,34222,2005,Weblinks,4,0,,core,inherited,
dewiki,34226,2005,Schreibweise_von_Zahlen,4,0,,core,inherited,
dewiki,38770,2005,Diskussionsseiten,4,0,,core,inherited,
dewiki,44373,2005,Geschützte_Seiten,4,0,,core,inherited,
dewiki,44853,2005,Barrierefreiheit,4,0,,core,inherited,
dewiki,46873,2005,Ignoriere_alle_Regeln,4,0,,core,inherited,
dewiki,64352,2005,Namenskonventionen/Koreanisch,4,0,,core,inherited,
dewiki,64747,2005,Namenskonventionen/Chinesisch,4,0,,core,inherited,
dewiki,71249,2005,Löschregeln,4,0,,core,inherited,
dewiki,76323,2005,Haftungsausschluss,4,0,,core,inherited,
dewiki,85625,2005,Vermittlungsausschuss,4,0,,core,inherited,
dewiki,93382,2005,Edit-War,4,0,,core,inherited,
dewiki,100139,2005,Namenskonventionen/Arabisch,4,0,,core,inherited,
dewiki,101373,2005,Richtlinien_Biologie,4,0,,core,inherited,
dewiki,131490,2005,Schnelllöschantrag,4,0,,core,inherited,
dewiki,148763,2005,Vandalismus,4,0,,core,inherited,
dewiki,169783,2005,Artikel,4,0,,core,inherited,
dewiki,179274,2005,Lückenhaft,4,0,,core,inherited,
dewiki,209980,2005,Wirres_Zeug,4,0,,core,inherited,
dewiki,210899,2005,Namenskonventionen/Japanisch,4,0,,core,inherited,
dewiki,214422,2005,Keine_persönlichen_Angriffe,4,0,,core,inherited,
dewiki,217305,2005,Verhalten_gegenüber_Neulingen,4,0,,core,inherited,
dewiki,224676,2005,Kategorien,4,0,,core,inherited,
dewiki,258824,2005,Interessenkonflikt,4,0,,core,inherited,
dewiki,260947,2005,Namenskonventionen/Hebräisch,4,0,,core,inherited,
dewiki,300129,2005,Löschantrag_entfernen,4,0,,core,inherited,
dewiki,307778,2005,Artikel_über_Schulen,4,0,,core,inherited,
dewiki,354115,2005,Richtlinien_Wirtschaft,4,0,,core,inherited,
dewiki,442115,2005,Typografie,4,0,,core,inherited,
dewiki,855432,2005,Urheberrechte_beachten,4,0,,core,inherited,
dewiki,1034176,2005,Richtlinien_Fiktives,4,0,,core,inherited,
dewiki,1200725,2005,Weiterleitung,4,0,,core,inherited,
dewiki,1250226,2005,Hinweis_Gesundheitsthemen,4,0,,core,inherited,
dewiki,1553871,2005,Formatvorlage_Biografie,4,0,,core,inherited,
dewiki,2744605,2005,Relevanzkriterien,4,0,,core,inherited,
dewiki,3699430,2005,Sei_mutig,4,0,,core,inherited,
dewiki,4642884,2005,Bewahre_immer_einen_kühlen_Kopf,4,0,,core,inherited,
dewiki,7354372,2005,Zitierregeln,4,0,,core,inherited,
dewiki,11901604,2005,Keine_Drohungen_mit_rechtlichen_Schritten,4,0,,core,inherited,
dewiki,1234,2006,Grundprinzipien,4,0,,core,inherited,
dewiki,3542,2006,Neutraler_Standpunkt,4,0,,core,inherited,
dewiki,4319,2006,Namenskonventionen,4,0,,core,inherited,
dewiki,5484,2006,Formatierung,4,0,,core,inherited,
dewiki,5656,2006,Was_Wikipedia_nicht_ist,4,0,,core,inherited,
dewiki,7637,2006,Begriffsklärung,4,0,,core,inherited,
dewiki,7763,2006,Administratoren,4,0,,core,inherited,
dewiki,8082,2006,Fremdwortformatierung,4,0,,core,inherited,
dewiki,8085,2006,Verlinken,4,0,,core,inherited,
dewiki,8097,2006,Datumskonventionen,4,0,,core,inherited,
dewiki,8130,2006,Wie_schreibe_ich_gute_Artikel,4,0,,core,inherited,
dewiki,11506,2006,Listen,4,0,,core,inherited,
dewiki,18339,2006,Spoilerwarnung,4,0,,core,inherited,
dewiki,22673,2006,Wikiquette,4,0,,core,inherited,
dewiki,23138,2006,Literatur,4,0,,core,inherited,
dewiki,24927,2006,Formatvorlage_Begriffsklärung,4,0,,core,inherited,
dewiki,26326,2006,Archiv/Richtlinien_für_die_Namensgebung:Singular-Plural-Debatte,4,0,,core,inherited,
dewiki,26677,2006,Wikipedia_ist_kein_Wörterbuch,4,0,,core,inherited,
dewiki,27959,2006,Assoziative_Verweise,4,0,,core,inherited,
