node_id,wiki,page_id,title,namespace,qid,confidence,admitted_via,native,status_tier
enwiki:9769,enwiki,9769,Editing_policy,4,Q8302842,core,status_template,1,
enwiki:13231,enwiki,13231,Redirect,4,Q4832177,core,status_template,1,
enwiki:33548,enwiki,33548,Spoiler,4,Q5525169,core,status_template,1,
enwiki:33697,enwiki,33697,Manual_of_Style,4,Q4994848,core,status_template,1,
enwiki:38760,enwiki,38760,Article_titles,4,Q3186256,core,status_template,1,
enwiki:39801,enwiki,39801,What_Wikipedia_is_not,4,Q4345841,core,status_template,1,
enwiki:39805,enwiki,39805,Neutral_point_of_view,4,Q4656487,core,status_template,1,
enwiki:39809,enwiki,39809,Etiquette,4,Q3621820,core,status_template,1,
enwiki:49479,enwiki,49479,Copyrights,4,Q4375196,core,status_template,1,
enwiki:49480,enwiki,49480,Administrators,4,Q4039395,core,status_template,1,
enwiki:49483,enwiki,49483,Ignore_all_rules,4,Q4656211,core,status_template,1,
enwiki:49698,enwiki,49698,Citing_sources,4,Q642335,core,status_template,1,
enwiki:50144,enwiki,50144,Do_not_include_the_full_text_of_lengthy_primary_sources,4,Q10948878,core,status_template,1,
enwiki:50178,enwiki,50178,No_personal_attacks,4,Q4654725,core,status_template,1,
enwiki:50181,enwiki,50181,Signatures,4,Q4663253,core,status_template,1,
enwiki:50260,enwiki,50260,Offensive_material,4,Q10955086,core,status_template,1,
enwiki:58892,enwiki,58892,WikiProject_Tree_of_Life,4,Q8503033,core,iw_qid,0,
enwiki:59549,enwiki,59549,Naming_conventions_(ships),4,Q16028026,core,status_template,1,
enwiki:64347,enwiki,64347,Image_use_policy,4,Q6618850,core,status_template,1,
enwiki:67730,enwiki,67730,Naming_conventions_(royalty_and_nobility),4,Q14360138,core,status_template,1,
enwiki:67736,enwiki,67736,Naming_conventions_(use_English-language_sources),4,Q10980505,core,status_template,1,
enwiki:67739,enwiki,67739,Naming_conventions_(capitalization),4,Q11773638,core,status_template,1,
enwiki:67748,enwiki,67748,Naming_conventions_(plurals),4,Q15711078,core,status_template,1,
enwiki:67753,enwiki,67753,Naming_conventions_(films),4,Q14360139,core,status_template,1,
enwiki:99719,enwiki,99719,Stub,4,Q4663261,core,status_template,1,
enwiki:100854,enwiki,100854,Naming_conventions_(Korean),4,Q3622720,core,status_template,1,
enwiki:140524,enwiki,140524,Vandalism,4,Q4664011,core,status_template,1,
enwiki:143131,enwiki,143131,Manual_of_Style/Layout,4,Q4663958,core,status_template,1,
enwiki:153086,enwiki,153086,Naming_conventions_(languages),4,Q62083045,core,status_template,1,
enwiki:168684,enwiki,168684,Username_policy,4,Q4664077,core,status_template,1,
enwiki:173830,enwiki,173830,Manual_of_Style/Biography,4,Q4657349,core,status_template,1,
enwiki:177606,enwiki,177606,Libel,4,Q4663273,core,status_template,1,
enwiki:180904,enwiki,180904,Naming_conventions_(aircraft),4,Q10990315,core,status_template,1,
enwiki:183692,enwiki,183692,Manual_of_Style/Dates_and_numbers,4,Q5525311,core,status_template,1,
enwiki:192954,enwiki,192954,Article_size,4,Q4657380,core,status_template,1,
enwiki:195122,enwiki,195122,Naming_conventions_(Chinese),4,Q4657213,core,status_template,1,
enwiki:199863,enwiki,199863,Naming_conventions_(music),4,Q15868588,core,status_template,1,
enwiki:216487,enwiki,216487,Edit_warring,4,Q4759272,core,status_template,1,
enwiki:225052,enwiki,225052,General_disclaimer,4,Q4980478,core,iw_qid,0,
enwiki:233024,enwiki,233024,Accuracy_dispute,4,Q5617729,core,status_template,1,
enwiki:239780,enwiki,239780,Naming_conventions_(fauna),4,Q12104272,core,status_template,1,
enwiki:242275,enwiki,242275,Blocking_policy,4,Q175291,core,status_template,1,
enwiki:247596,enwiki,247596,As_of,4,Q11128024,core,status_template,1,
enwiki:249495,enwiki,249495,Manual_of_Style/Tables,4,Q19339674,core,status_template,1,
enwiki:252706,enwiki,252706,Manual_of_Style/Titles_of_works,4,Q12126336,core,status_template,1,
enwiki:256889,enwiki,256889,Manual_of_Style/Images,4,Q16745099,core,status_template,1,
enwiki:266143,enwiki,266143,Please_do_not_bite_the_newcomers,4,Q4657367,core,status_template,1,
enwiki:273430,enwiki,273430,Manual_of_Style/Self-references_to_avoid,4,Q11888427,core,status_template,1,
enwiki:284702,enwiki,284702,Autobiographies,4,Q4657322,core,status_template,1,
enwiki:286178,enwiki,286178,Notability_(people),4,Q4663321,core,status_template,1,
enwiki:286793,enwiki,286793,Subpages,4,Q4592255,core,status_template,1,
enwiki:317870,enwiki,317870,External_links,4,Q4657623,core,status_template,1,
enwiki:318931,enwiki,318931,Manual_of_Style/Legal,4,Q115857856,core,status_template,1,
enwiki:320013,enwiki,320013,Manual_of_Style/Lists,4,Q4656789,core,status_template,1,
enwiki:322950,enwiki,322950,Deletion_guidelines_for_administrators,4,Q13417617,core,status_template,1,
enwiki:324033,enwiki,324033,Non-free_content,4,Q4657739,core,status_template,1,
enwiki:326245,enwiki,326245,Ownership_of_content,4,Q4663994,core,status_template,1,
enwiki:342552,enwiki,342552,Naming_conventions_(clergy),4,,core,status_template,1,
enwiki:345326,enwiki,345326,Manual_of_Style/Japan-related_articles,4,Q14360534,core,status_template,1,
enwiki:351777,enwiki,351777,Manual_of_Style/Pronunciation,4,Q12126157,core,status_template,1,
enwiki:371142,enwiki,371142,Logos,4,Q15555389,core,status_template,1,
enwiki:371920,enwiki,371920,Manual_of_Style/China-_and_Chinese-related_articles,4,Q13548091,core,status_template,1,
enwiki:381879,enwiki,381879,Medical_disclaimer,4,Q10640396,core,iw_qid,0,
enwiki:390228,enwiki,390228,User_pages,4,Q4592334,core,status_template,1,
enwiki:392393,enwiki,392393,Protection_policy,4,Q4616470,core,status_template,1,
enwiki:403058,enwiki,403058,Naming_conventions_(comics),4,Q94239134,core,status_template,1,
enwiki:408746,enwiki,408746,Manual_of_Style/Embedded_lists,4,Q13359562,core,wikidata,1,
enwiki:408749,enwiki,408749,Stand-alone_lists,4,Q21484011,core,status_template,1,
enwiki:410235,enwiki,410235,No_original_research,4,Q4656524,core,status_template,1,
enwiki:422058,enwiki,422058,Edit_summary_legend,4,Q15408491,core,iw_qid,0,
enwiki:425887,enwiki,425887,Speedy_deletion,4,Q4664109,core,status_template,1,
enwiki:428038,enwiki,428038,Dispute_resolution,4,Q4654667,core,status_template,1,
enwiki:434648,enwiki,434648,Red_link,4,Q13417974,core,status_template,1,
enwiki:450740,enwiki,450740,Arbitration/Policy,4,Q4616152,core,status_template,1,
enwiki:456268,enwiki,456268,Civility,4,Q4654593,core,status_template,1,
enwiki:458380,enwiki,458380,Terms_of_use,4,Q118719909,core,status_template,1,
enwiki:469393,enwiki,469393,Sockpuppetry,4,Q4131621,core,status_template,1,
