wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
de.wikipedia,Wikipedia:Artikel über lebende Personen,2006,25353944,1804,99,,,,,
de.wikipedia,Wikipedia:Artikel über lebende Personen,2007,40583926,2183,108,402,23,0.9873,0.8384,0.7222
de.wikipedia,Wikipedia:Artikel über lebende Personen,2008,54559400,2236,110,71,18,0.9983,0.9537,0.9364
de.wikipedia,Wikipedia:Artikel über lebende Personen,2009,67629892,2250,106,65,51,0.9965,0.9273,0.9057
de.wikipedia,Wikipedia:Artikel über lebende Personen,2010,82663410,2472,118,246,24,0.9953,0.9151,0.8051
de.wikipedia,Wikipedia:Artikel über lebende Personen,2011,97538310,2523,120,114,63,0.9966,0.9153,0.9083
de.wikipedia,Wikipedia:Artikel über lebende Personen,2012,108846806,2522,121,5,6,0.9998,0.9833,0.9752
de.wikipedia,Wikipedia:Artikel über lebende Personen,2013,124240285,2689,130,183,16,0.9965,0.9504,0.8769
de.wikipedia,Wikipedia:Artikel über lebende Personen,2014,136851638,2665,130,79,103,0.9962,0.8846,0.9
de.wikipedia,Wikipedia:Artikel über lebende Personen,2015,149472445,2667,131,3,1,0.9999,0.9846,0.9847
de.wikipedia,Wikipedia:Artikel über lebende Personen,2016,160836036,2670,131,6,3,0.9999,1.0,1.0
de.wikipedia,Wikipedia:Artikel über lebende Personen,2017,169920913,2697,133,29,2,0.9995,1.0,0.985
de.wikipedia,Wikipedia:Artikel über lebende Personen,2018,181919540,2697,133,1,1,1.0,1.0,1.0
de.wikipedia,Wikipedia:Artikel über lebende Personen,2019,193833197,2625,133,4,76,0.9934,0.985,0.9925
de.wikipedia,Wikipedia:Artikel über lebende Personen,2020,206968550,2625,133,0,0,1.0,1.0,1.0
de.wikipedia,Wikipedia:Artikel über lebende Personen,2021,215886299,2673,136,65,17,0.9986,0.9624,0.9412
de.wikipedia,Wikipedia:Artikel über lebende Personen,2022,226870042,2816,144,145,2,0.998,0.9926,0.9444
de.wikipedia,Wikipedia:Artikel über lebende Personen,2023,240651780,2829,145,16,3,0.9998,0.9722,0.9724
de.wikipedia,Wikipedia:Artikel über lebende Personen,2024,250074762,2831,145,6,4,0.9999,1.0,1.0
de.wikipedia,Wikipedia:Artikel über lebende Personen,2025,262556680,2840,145,13,4,0.9998,0.9931,0.9931
de.wikipedia,Wikipedia:Artikel über lebende Personen,2026,267159471,2827,144,0,13,0.9999,0.9931,1.0
