wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
de.wikipedia,Wikipedia:Eigentum an Artikeln,2008,52808532,450,26,,,,,
de.wikipedia,Wikipedia:Eigentum an Artikeln,2009,67959743,469,27,20,1,0.9953,1.0,0.963
de.wikipedia,Wikipedia:Eigentum an Artikeln,2010,82031933,488,28,27,8,0.9878,0.8889,0.8571
de.wikipedia,Wikipedia:Eigentum an Artikeln,2011,97540272,498,29,10,0,0.9979,1.0,0.9655
de.wikipedia,Wikipedia:Eigentum an Artikeln,2012,106371472,522,30,31,7,0.9917,0.8966,0.8667
de.wikipedia,Wikipedia:Eigentum an Artikeln,2013,121031818,522,30,0,0,1.0,1.0,1.0
de.wikipedia,Wikipedia:Eigentum an Artikeln,2014,135324390,742,42,269,49,0.9154,0.8,0.5714
de.wikipedia,Wikipedia:Eigentum an Artikeln,2015,147819696,742,42,0,0,1.0,1.0,1.0
de.wikipedia,Wikipedia:Eigentum an Artikeln,2016,159510756,742,42,0,0,1.0,1.0,1.0
de.wikipedia,Wikipedia:Eigentum an Artikeln,2017,170158648,673,39,1,70,0.9898,0.881,0.9487
de.wikipedia,Wikipedia:Eigentum an Artikeln,2018,180737003,678,39,11,6,0.9975,0.9744,0.9744
de.wikipedia,Wikipedia:Eigentum an Artikeln,2019,190282017,678,39,0,0,1.0,1.0,1.0
de.wikipedia,Wikipedia:Eigentum an Artikeln,2020,200859798,678,39,1,1,0.9997,0.9744,0.9744
de.wikipedia,Wikipedia:Eigentum an Artikeln,2021,216706664,677,39,0,1,0.9999,1.0,1.0
de.wikipedia,Wikipedia:Eigentum an Artikeln,2022,221021999,677,39,0,0,1.0,1.0,1.0
de.wikipedia,Wikipedia:Eigentum an Artikeln,2025,261243779,786,42,117,8,0.9785,0.9231,0.8571
