wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
de.wikipedia,Wikipedia:Support-Team,2006,25490605,661,36,,,,,
de.wikipedia,Wikipedia:Support-Team,2007,40503167,884,54,325,102,0.9292,0.5833,0.3704
de.wikipedia,Wikipedia:Support-Team,2008,53674101,1211,66,428,101,0.9037,0.4815,0.3182
de.wikipedia,Wikipedia:Support-Team,2009,67959437,1381,74,208,38,0.985,0.7576,0.7162
de.wikipedia,Wikipedia:Support-Team,2010,81730842,843,42,94,632,0.9252,0.1757,0.3333
de.wikipedia,Wikipedia:Support-Team,2011,97638946,1096,59,253,0,0.9773,1.0,0.6949
de.wikipedia,Wikipedia:Support-Team,2012,109486005,1036,49,172,232,0.9528,0.5424,0.6735
de.wikipedia,Wikipedia:Support-Team,2013,125637258,1026,50,71,81,0.9772,0.8571,0.84
de.wikipedia,Wikipedia:Support-Team,2014,133246763,1024,49,28,30,0.9959,0.94,0.9592
de.wikipedia,Wikipedia:Support-Team,2015,149416182,998,47,27,53,0.9943,0.898,0.9362
de.wikipedia,Wikipedia:Support-Team,2016,151029072,1009,47,11,0,0.9993,1.0,1.0
de.wikipedia,Wikipedia:Support-Team,2017,171187676,997,47,0,12,0.9991,1.0,1.0
de.wikipedia,Wikipedia:Support-Team,2020,204006401,997,47,1,1,0.9999,1.0,1.0
de.wikipedia,Wikipedia:Support-Team,2021,217191030,1028,48,61,30,0.9883,0.8298,0.8125
de.wikipedia,Wikipedia:Support-Team,2022,229043385,1162,57,155,21,0.9867,0.9167,0.7719
de.wikipedia,Wikipedia:Support-Team,2023,240615684,1156,57,0,6,0.9996,1.0,1.0
de.wikipedia,Wikipedia:Support-Team,2024,246356581,1156,57,0,0,1.0,1.0,1.0
de.wikipedia,Wikipedia:Support-Team,2025,254133106,1156,57,0,0,1.0,1.0,1.0
de.wikipedia,Wikipedia:Support-Team,2026,265317744,1185,59,29,0,0.9985,1.0,0.9661
