wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
en.wikipedia,Wikipedia:Attack page,2005,29883349,84,4,,,,,
en.wikipedia,Wikipedia:Attack page,2006,88995281,110,4,26,0,0.9379,0.75,0.75
en.wikipedia,Wikipedia:Attack page,2007,179196797,314,11,206,2,0.8274,0.5,0.1818
en.wikipedia,Wikipedia:Attack page,2008,257328948,277,11,21,58,0.9644,0.8182,0.7273
en.wikipedia,Wikipedia:Attack page,2009,333102185,292,12,25,10,0.9833,0.8182,0.75
en.wikipedia,Wikipedia:Attack page,2010,394006505,343,14,68,17,0.9735,0.8333,0.7857
en.wikipedia,Wikipedia:Attack page,2011,450623676,334,15,19,28,0.9845,0.7857,0.7333
en.wikipedia,Wikipedia:Attack page,2012,524930871,334,15,0,0,1.0,0.8667,0.8667
en.wikipedia,Wikipedia:Attack page,2013,576738779,334,15,0,0,1.0,1.0,1.0
en.wikipedia,Wikipedia:Attack page,2014,636782001,347,16,13,0,0.9967,1.0,0.9375
en.wikipedia,Wikipedia:Attack page,2015,692186621,357,16,10,0,0.9965,1.0,0.9375
en.wikipedia,Wikipedia:Attack page,2016,756765858,364,16,13,6,0.9949,1.0,1.0
en.wikipedia,Wikipedia:Attack page,2017,806635545,357,16,23,30,0.9849,0.9375,0.9375
en.wikipedia,Wikipedia:Attack page,2018,870619727,356,16,1,2,0.9993,0.9375,0.9375
en.wikipedia,Wikipedia:Attack page,2019,917458290,356,16,0,0,1.0,1.0,1.0
en.wikipedia,Wikipedia:Attack page,2020,994218578,349,16,0,7,0.9985,0.9375,0.9375
en.wikipedia,Wikipedia:Attack page,2021,1019550040,348,16,4,5,0.9978,0.9375,0.9375
en.wikipedia,Wikipedia:Attack page,2022,1107045828,344,16,0,4,0.999,0.9375,1.0
en.wikipedia,Wikipedia:Attack page,2023,1192645631,344,16,0,0,1.0,1.0,1.0
en.wikipedia,Wikipedia:Attack page,2024,1235150355,344,16,0,0,1.0,1.0,1.0
