wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
en.wikipedia,Wikipedia:Banning policy,2004,9311860,1546,79,,,,,
en.wikipedia,Wikipedia:Banning policy,2005,32299107,1648,85,131,29,0.9952,0.9241,0.8706
en.wikipedia,Wikipedia:Banning policy,2006,97331221,1080,59,198,766,0.9413,0.1059,0.1695
en.wikipedia,Wikipedia:Banning policy,2007,180229277,1316,70,294,58,0.9879,0.5932,0.5
en.wikipedia,Wikipedia:Banning policy,2008,261020879,2079,80,847,84,0.977,0.5857,0.4625
en.wikipedia,Wikipedia:Banning policy,2009,334491717,2221,92,210,68,0.9967,0.75,0.6957
en.wikipedia,Wikipedia:Banning policy,2010,404939842,3306,129,1300,215,0.9637,0.2935,0.2248
en.wikipedia,Wikipedia:Banning policy,2011,464189211,3242,125,120,184,0.9976,0.8217,0.856
en.wikipedia,Wikipedia:Banning policy,2012,524050715,3429,129,224,37,0.9981,0.936,0.8915
en.wikipedia,Wikipedia:Banning policy,2013,586570167,3521,132,287,195,0.9945,0.6977,0.6818
en.wikipedia,Wikipedia:Banning policy,2014,636992070,3741,136,291,71,0.9973,0.9318,0.875
en.wikipedia,Wikipedia:Banning policy,2015,693941908,3854,148,175,62,0.9984,0.9265,0.8851
en.wikipedia,Wikipedia:Banning policy,2016,753516488,4121,156,323,56,0.9979,0.9189,0.8782
en.wikipedia,Wikipedia:Banning policy,2017,813078766,4185,159,80,16,0.9996,0.9679,0.9623
en.wikipedia,Wikipedia:Banning policy,2018,869753121,4399,162,250,36,0.9986,0.9057,0.8704
en.wikipedia,Wikipedia:Banning policy,2019,932928967,4271,163,26,154,0.9969,0.9198,0.9325
en.wikipedia,Wikipedia:Banning policy,2020,996527772,4423,167,191,39,0.9991,0.9571,0.9341
en.wikipedia,Wikipedia:Banning policy,2021,1060870149,4399,167,60,84,0.9995,0.9521,0.9461
en.wikipedia,Wikipedia:Banning policy,2022,1117445943,4386,167,34,47,0.9998,0.9701,0.9701
en.wikipedia,Wikipedia:Banning policy,2023,1191620722,4536,170,230,80,0.9982,0.8683,0.8588
en.wikipedia,Wikipedia:Banning policy,2024,1266413143,4604,172,126,58,0.9993,0.9412,0.9244
en.wikipedia,Wikipedia:Banning policy,2025,1325564901,4780,180,250,74,0.9991,0.9244,0.8833
en.wikipedia,Wikipedia:Banning policy,2026,1354911435,4458,170,8,330,0.9988,0.9056,0.9647
