wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
en.wikipedia,Wikipedia:Biographies of living persons,2005,32860735,2115,91,,,,,
en.wikipedia,Wikipedia:Biographies of living persons,2006,97114098,2458,102,925,582,0.9341,0.1209,0.0882
en.wikipedia,Wikipedia:Biographies of living persons,2007,180971386,3365,140,1294,387,0.9695,0.2941,0.2071
en.wikipedia,Wikipedia:Biographies of living persons,2008,260801893,4490,180,1277,152,0.99,0.65,0.5167
en.wikipedia,Wikipedia:Biographies of living persons,2009,334881593,4562,194,530,458,0.9919,0.4722,0.4433
en.wikipedia,Wikipedia:Biographies of living persons,2010,404872671,4159,165,691,1094,0.9795,0.2371,0.2545
en.wikipedia,Wikipedia:Biographies of living persons,2011,468646798,4272,170,153,40,0.9992,0.9091,0.8765
en.wikipedia,Wikipedia:Biographies of living persons,2012,529823147,4695,189,519,96,0.9972,0.8118,0.7302
en.wikipedia,Wikipedia:Biographies of living persons,2013,587105685,5320,208,699,74,0.9964,0.8995,0.8077
en.wikipedia,Wikipedia:Biographies of living persons,2014,637040482,5187,201,81,214,0.9991,0.8702,0.9104
en.wikipedia,Wikipedia:Biographies of living persons,2015,697500480,5301,200,143,29,0.9994,0.9303,0.935
en.wikipedia,Wikipedia:Biographies of living persons,2016,757624968,5314,201,54,41,0.9998,0.97,0.9602
en.wikipedia,Wikipedia:Biographies of living persons,2017,815917397,5057,195,128,385,0.9978,0.8657,0.9077
en.wikipedia,Wikipedia:Biographies of living persons,2018,875685189,4995,195,75,137,0.9993,0.8821,0.8821
en.wikipedia,Wikipedia:Biographies of living persons,2019,933070389,4969,195,15,41,0.9999,0.9385,0.9487
en.wikipedia,Wikipedia:Biographies of living persons,2020,994717003,4988,195,45,26,0.9998,0.9692,0.9641
en.wikipedia,Wikipedia:Biographies of living persons,2021,1062533546,5213,201,248,23,0.9991,0.9846,0.9502
en.wikipedia,Wikipedia:Biographies of living persons,2022,1129309220,5224,202,55,44,0.9998,0.9502,0.9455
en.wikipedia,Wikipedia:Biographies of living persons,2023,1190536249,5157,203,51,118,0.9993,0.9208,0.9458
en.wikipedia,Wikipedia:Biographies of living persons,2024,1266389785,5227,208,108,38,0.9996,0.9754,0.9567
en.wikipedia,Wikipedia:Biographies of living persons,2025,1330281928,5397,217,258,88,0.9988,0.9279,0.9032
en.wikipedia,Wikipedia:Biographies of living persons,2026,1355342174,5424,218,102,75,0.9995,0.9631,0.9541
