wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
en.wikipedia,Wikipedia:Copyright violations,2004,16996692,1,0,,,,,
en.wikipedia,Wikipedia:Copyright violations,2006,95319634,327,15,327,1,0.0,1.0,0.0
en.wikipedia,Wikipedia:Copyright violations,2007,181280735,678,28,398,47,0.9286,0.4,0.2143
en.wikipedia,Wikipedia:Copyright violations,2008,259932922,725,29,47,0,0.9948,1.0,0.9655
en.wikipedia,Wikipedia:Copyright violations,2009,332116129,847,32,154,32,0.9862,0.7241,0.6562
en.wikipedia,Wikipedia:Copyright violations,2010,405016848,1034,38,197,10,0.9891,0.875,0.6842
en.wikipedia,Wikipedia:Copyright violations,2011,467178522,1490,45,467,11,0.9752,0.8421,0.6889
en.wikipedia,Wikipedia:Copyright violations,2012,527840194,1489,45,0,1,1.0,0.9778,0.9778
en.wikipedia,Wikipedia:Copyright violations,2013,566991890,1545,49,57,1,0.999,0.9778,0.9184
en.wikipedia,Wikipedia:Copyright violations,2014,633733161,1563,49,23,5,0.9995,1.0,1.0
en.wikipedia,Wikipedia:Copyright violations,2015,689663424,1671,51,128,20,0.9975,0.898,0.8824
en.wikipedia,Wikipedia:Copyright violations,2016,754110555,1725,55,61,7,0.9989,0.9804,0.9091
en.wikipedia,Wikipedia:Copyright violations,2017,815968651,1778,58,58,5,0.9991,0.9636,0.9138
en.wikipedia,Wikipedia:Copyright violations,2018,869535196,1843,62,67,2,0.9988,0.9655,0.9032
en.wikipedia,Wikipedia:Copyright violations,2019,927349401,1843,62,0,0,1.0,1.0,1.0
en.wikipedia,Wikipedia:Copyright violations,2020,997387267,1859,62,19,3,0.9997,0.9677,0.9516
en.wikipedia,Wikipedia:Copyright violations,2021,1062497414,1877,62,18,0,0.9997,0.9839,0.9355
en.wikipedia,Wikipedia:Copyright violations,2022,1129847265,1850,61,11,38,0.9993,0.9516,0.9344
en.wikipedia,Wikipedia:Copyright violations,2023,1159081893,1856,61,8,2,0.9999,0.9836,0.9836
en.wikipedia,Wikipedia:Copyright violations,2024,1261750254,1851,61,9,14,0.9997,0.9508,0.9508
en.wikipedia,Wikipedia:Copyright violations,2025,1325153299,1860,61,17,8,0.9997,1.0,1.0
en.wikipedia,Wikipedia:Copyright violations,2026,1345191712,1854,61,4,10,0.9998,0.9836,0.9836
