wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
en.wikipedia,Wikipedia:Ownership of content,2003,2542537,262,18,,,,,
en.wikipedia,Wikipedia:Ownership of content,2004,11249519,718,35,477,21,0.8229,0.5556,0.2286
en.wikipedia,Wikipedia:Ownership of content,2005,32288126,877,36,309,150,0.9226,0.5714,0.5278
en.wikipedia,Wikipedia:Ownership of content,2006,94506552,1177,56,560,260,0.8859,0.3611,0.2857
en.wikipedia,Wikipedia:Ownership of content,2007,180319239,1295,61,153,35,0.9898,0.6429,0.5574
en.wikipedia,Wikipedia:Ownership of content,2008,259037217,1308,61,49,36,0.997,0.8852,0.8852
en.wikipedia,Wikipedia:Ownership of content,2009,334740464,1429,67,191,70,0.9893,0.7541,0.7164
en.wikipedia,Wikipedia:Ownership of content,2010,400945645,1619,72,303,113,0.9822,0.5821,0.5556
en.wikipedia,Wikipedia:Ownership of content,2011,467710837,1864,83,248,3,0.9946,0.9167,0.7952
en.wikipedia,Wikipedia:Ownership of content,2012,529917057,1822,75,109,151,0.9941,0.6145,0.7067
en.wikipedia,Wikipedia:Ownership of content,2013,587891128,1854,77,102,70,0.996,0.8533,0.8442
en.wikipedia,Wikipedia:Ownership of content,2014,640170286,1924,79,87,17,0.9984,0.9351,0.8987
en.wikipedia,Wikipedia:Ownership of content,2015,697462860,2046,81,131,9,0.9985,0.9367,0.9012
en.wikipedia,Wikipedia:Ownership of content,2016,754123584,2276,89,248,18,0.9972,0.8889,0.8315
en.wikipedia,Wikipedia:Ownership of content,2017,803679860,2274,88,0,2,1.0,0.9663,0.9659
en.wikipedia,Wikipedia:Ownership of content,2018,875873290,2252,87,14,36,0.9995,0.9205,0.931
en.wikipedia,Wikipedia:Ownership of content,2019,906742159,2233,87,10,29,0.9996,0.977,0.977
en.wikipedia,Wikipedia:Ownership of content,2020,996619664,2101,85,9,141,0.9972,0.954,0.9765
en.wikipedia,Wikipedia:Ownership of content,2021,1060863324,2010,83,52,143,0.9974,0.8588,0.8795
en.wikipedia,Wikipedia:Ownership of content,2022,1130533365,1975,81,25,60,0.9986,0.9277,0.9506
en.wikipedia,Wikipedia:Ownership of content,2023,1188742334,1954,79,7,28,0.9995,0.9383,0.962
en.wikipedia,Wikipedia:Ownership of content,2024,1263813511,2146,86,194,2,0.9971,1.0,0.9302
en.wikipedia,Wikipedia:Ownership of content,2025,1324759772,2146,86,25,25,0.9993,0.9302,0.9302
en.wikipedia,Wikipedia:Ownership of content,2026,1354949668,2142,86,6,10,0.9998,0.9535,0.9651
