wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
en.wikipedia,Wikipedia:Policies and guidelines,2001,341065451,1501,73,,,,,
en.wikipedia,Wikipedia:Policies and guidelines,2002,575028,651,34,156,1006,0.8764,0.0411,0.1471
en.wikipedia,Wikipedia:Policies and guidelines,2003,2099074,638,34,42,55,0.9828,0.6765,0.6765
en.wikipedia,Wikipedia:Policies and guidelines,2004,9042309,853,41,346,131,0.9307,0.2941,0.2439
en.wikipedia,Wikipedia:Policies and guidelines,2005,33409322,842,41,173,184,0.9506,0.6098,0.6341
en.wikipedia,Wikipedia:Policies and guidelines,2006,97427086,1419,85,744,167,0.8834,0.3415,0.1294
en.wikipedia,Wikipedia:Policies and guidelines,2007,180895976,1393,73,279,305,0.9665,0.3647,0.4247
en.wikipedia,Wikipedia:Policies and guidelines,2008,259941855,2307,126,1121,207,0.9272,0.3288,0.1905
en.wikipedia,Wikipedia:Policies and guidelines,2009,334590372,2305,130,638,640,0.9656,0.127,0.1385
en.wikipedia,Wikipedia:Policies and guidelines,2010,402871007,2870,157,723,158,0.9887,0.6692,0.5732
en.wikipedia,Wikipedia:Policies and guidelines,2011,468364424,2889,159,117,98,0.9982,0.8408,0.8365
en.wikipedia,Wikipedia:Policies and guidelines,2012,528865694,2959,163,116,46,0.9986,0.9371,0.9325
en.wikipedia,Wikipedia:Policies and guidelines,2013,587969865,3047,164,90,2,0.9993,0.9816,0.9817
en.wikipedia,Wikipedia:Policies and guidelines,2014,640412220,3039,164,4,12,0.9999,1.0,0.9939
en.wikipedia,Wikipedia:Policies and guidelines,2015,676277670,3047,164,18,10,0.9998,0.9878,0.9878
en.wikipedia,Wikipedia:Policies and guidelines,2016,757016567,3029,161,61,79,0.999,0.9146,0.9317
en.wikipedia,Wikipedia:Policies and guidelines,2017,815811129,2999,159,26,56,0.9993,0.9565,0.9686
en.wikipedia,Wikipedia:Policies and guidelines,2018,874916523,2977,158,4,26,0.9999,0.9623,0.9684
en.wikipedia,Wikipedia:Policies and guidelines,2019,927799922,3021,161,69,25,0.9986,0.9177,0.9006
en.wikipedia,Wikipedia:Policies and guidelines,2020,996654697,3016,161,31,36,0.9994,0.9193,0.913
en.wikipedia,Wikipedia:Policies and guidelines,2021,1061592185,3117,164,132,31,0.9992,0.9441,0.9329
en.wikipedia,Wikipedia:Policies and guidelines,2022,1127933799,3132,165,21,6,0.9999,0.9573,0.9515
en.wikipedia,Wikipedia:Policies and guidelines,2023,1191293624,3121,165,0,11,0.9999,0.9939,0.9939
en.wikipedia,Wikipedia:Policies and guidelines,2024,1263419659,3001,166,74,194,0.9976,0.7939,0.7952
en.wikipedia,Wikipedia:Policies and guidelines,2025,1327621627,3030,168,63,34,0.9993,0.9518,0.9405
en.wikipedia,Wikipedia:Policies and guidelines,2026,1353818960,3026,168,0,4,1.0,0.994,0.994
