wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
es.wikipedia,Wikipedia:Biografías de personas vivas,2007,13945190,2257,91,,,,,
es.wikipedia,Wikipedia:Biografías de personas vivas,2008,18172959,2257,91,1,1,1.0,1.0,1.0
es.wikipedia,Wikipedia:Biografías de personas vivas,2009,32563440,2265,92,10,2,0.9999,0.989,0.9783
es.wikipedia,Wikipedia:Biografías de personas vivas,2010,40913236,2265,92,1,1,1.0,1.0,1.0
es.wikipedia,Wikipedia:Biografías de personas vivas,2011,52472237,2268,92,5,2,0.9999,0.9783,0.9783
es.wikipedia,Wikipedia:Biografías de personas vivas,2012,60208922,2268,93,0,0,1.0,1.0,1.0
es.wikipedia,Wikipedia:Biografías de personas vivas,2013,69966996,2265,93,11,14,0.9994,0.9677,0.9677
es.wikipedia,Wikipedia:Biografías de personas vivas,2014,76797111,2265,93,2,2,1.0,1.0,1.0
es.wikipedia,Wikipedia:Biografías de personas vivas,2015,87611471,2281,94,22,6,0.9998,0.9677,0.9574
es.wikipedia,Wikipedia:Biografías de personas vivas,2016,95899743,2285,94,9,5,0.9998,0.9894,0.9894
es.wikipedia,Wikipedia:Biografías de personas vivas,2017,96155234,2289,94,7,3,0.9999,0.9894,0.9894
es.wikipedia,Wikipedia:Biografías de personas vivas,2018,106642603,2289,94,1,1,1.0,1.0,1.0
es.wikipedia,Wikipedia:Biografías de personas vivas,2019,115860304,2289,94,0,0,1.0,1.0,1.0
es.wikipedia,Wikipedia:Biografías de personas vivas,2020,129296837,2289,94,0,0,1.0,1.0,1.0
es.wikipedia,Wikipedia:Biografías de personas vivas,2021,132746629,2289,94,0,0,1.0,1.0,1.0
es.wikipedia,Wikipedia:Biografías de personas vivas,2022,144645129,2287,94,0,2,1.0,0.9894,1.0
es.wikipedia,Wikipedia:Biografías de personas vivas,2023,151920966,2286,94,1,2,1.0,0.9787,0.9787
es.wikipedia,Wikipedia:Biografías de personas vivas,2025,169503999,2286,94,0,0,1.0,1.0,1.0
es.wikipedia,Wikipedia:Biografías de personas vivas,2026,172153622,2397,98,111,0,0.999,1.0,0.9592
