wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
es.wikipedia,Wikipedia:Propuesta de política de suspensión,2006,6027603,1700,87,,,,,
es.wikipedia,Wikipedia:Propuesta de política de suspensión,2007,11744263,1703,87,16,13,0.9995,0.908,0.8966
es.wikipedia,Wikipedia:Propuesta de política de suspensión,2008,22844913,1703,87,0,0,1.0,1.0,1.0
es.wikipedia,Wikipedia:Propuesta de política de suspensión,2009,30122686,1693,86,8,18,0.9996,0.9195,0.9419
es.wikipedia,Wikipedia:Propuesta de política de suspensión,2011,49430709,1693,86,0,0,1.0,1.0,1.0
es.wikipedia,Wikipedia:Propuesta de política de suspensión,2012,57150608,1693,86,0,0,1.0,1.0,1.0
es.wikipedia,Wikipedia:Propuesta de política de suspensión,2013,70643092,1693,86,0,0,1.0,1.0,1.0
es.wikipedia,Wikipedia:Propuesta de política de suspensión,2014,78564818,2035,88,543,201,0.9735,0.6279,0.6136
es.wikipedia,Wikipedia:Propuesta de política de suspensión,2015,88099618,1964,91,162,233,0.9908,0.6705,0.6593
es.wikipedia,Wikipedia:Propuesta de política de suspensión,2016,89665486,2550,110,877,291,0.9775,0.4066,0.3455
es.wikipedia,Wikipedia:Propuesta de política de suspensión,2019,118128911,2550,110,0,0,1.0,1.0,1.0
es.wikipedia,Wikipedia:Propuesta de política de suspensión,2020,130143571,2588,111,46,8,0.9996,0.9909,0.982
es.wikipedia,Wikipedia:Propuesta de política de suspensión,2021,139310964,2588,111,0,0,1.0,1.0,1.0
es.wikipedia,Wikipedia:Propuesta de política de suspensión,2025,168597063,2588,111,0,0,1.0,1.0,1.0
