wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
fr.wikipedia,Wikipédia:Bannissement,2008,31302101,244,16,,,,,
fr.wikipedia,Wikipédia:Bannissement,2009,46660636,244,16,0,0,1.0,1.0,1.0
fr.wikipedia,Wikipédia:Bannissement,2010,56381447,244,16,0,0,1.0,1.0,1.0
fr.wikipedia,Wikipédia:Bannissement,2011,69095332,244,16,0,0,1.0,1.0,1.0
fr.wikipedia,Wikipédia:Bannissement,2012,84615887,247,17,3,0,0.9985,1.0,0.9412
fr.wikipedia,Wikipédia:Bannissement,2013,90443893,247,17,0,0,1.0,1.0,1.0
fr.wikipedia,Wikipédia:Bannissement,2014,110386254,256,17,9,0,0.9947,1.0,0.9412
fr.wikipedia,Wikipédia:Bannissement,2016,132580931,249,13,63,70,0.9043,0.4706,0.6154
fr.wikipedia,Wikipédia:Bannissement,2018,154647456,337,17,88,0,0.955,0.9231,0.6471
fr.wikipedia,Wikipédia:Bannissement,2019,165822407,516,23,189,10,0.9511,0.9412,0.6087
fr.wikipedia,Wikipédia:Bannissement,2020,176437445,545,24,30,1,0.9952,0.9565,0.9167
fr.wikipedia,Wikipédia:Bannissement,2023,207436801,570,23,25,0,0.9958,1.0,0.9565
fr.wikipedia,Wikipédia:Bannissement,2024,214098829,567,23,2,5,0.9991,1.0,1.0
fr.wikipedia,Wikipédia:Bannissement,2025,224583381,565,23,12,14,0.9964,0.913,0.913
