wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
fr.wikipedia,Wikipédia:Biographie de personne vivante,2007,24069295,1348,53,,,,,
fr.wikipedia,Wikipédia:Biographie de personne vivante,2008,36142094,3780,137,2504,72,0.9642,0.3774,0.1533
fr.wikipedia,Wikipédia:Biographie de personne vivante,2009,47202670,3789,138,35,26,0.9997,0.9562,0.9493
fr.wikipedia,Wikipédia:Biographie de personne vivante,2010,60309152,3772,137,0,17,0.9999,0.9928,1.0
fr.wikipedia,Wikipédia:Biographie de personne vivante,2011,73616465,3826,139,55,1,0.9998,0.9927,0.9856
fr.wikipedia,Wikipédia:Biographie de personne vivante,2012,86612684,3826,139,1,1,1.0,0.9928,0.9928
fr.wikipedia,Wikipédia:Biographie de personne vivante,2013,97094545,3828,139,2,0,1.0,1.0,0.9928
fr.wikipedia,Wikipédia:Biographie de personne vivante,2014,109246134,3834,139,8,2,0.9999,0.9928,0.9928
fr.wikipedia,Wikipédia:Biographie de personne vivante,2015,117055191,3838,139,6,2,1.0,0.9784,0.9856
fr.wikipedia,Wikipédia:Biographie de personne vivante,2016,133056033,3934,143,101,5,0.9994,0.9856,0.958
fr.wikipedia,Wikipédia:Biographie de personne vivante,2017,143075165,3972,144,43,5,0.9998,0.993,0.9931
fr.wikipedia,Wikipédia:Biographie de personne vivante,2018,154618378,4122,149,171,21,0.9994,0.9583,0.9396
fr.wikipedia,Wikipédia:Biographie de personne vivante,2019,163981561,4109,149,30,43,0.9998,0.9799,0.9799
fr.wikipedia,Wikipédia:Biographie de personne vivante,2020,177905730,4109,149,1,1,1.0,1.0,1.0
fr.wikipedia,Wikipédia:Biographie de personne vivante,2021,188487725,4108,149,1,2,1.0,0.9866,0.9799
fr.wikipedia,Wikipédia:Biographie de personne vivante,2022,194602529,4531,166,429,6,0.998,0.9799,0.8795
fr.wikipedia,Wikipédia:Biographie de personne vivante,2023,209891900,4529,166,7,9,0.9999,0.9699,0.9699
fr.wikipedia,Wikipédia:Biographie de personne vivante,2024,221040358,4532,166,5,2,1.0,0.994,0.994
fr.wikipedia,Wikipédia:Biographie de personne vivante,2025,227288961,4532,166,1,1,1.0,1.0,1.0
fr.wikipedia,Wikipédia:Biographie de personne vivante,2026,235383336,4532,166,0,0,1.0,1.0,1.0
