wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
fr.wikipedia,Wikipédia:Règles et recommandations,2002,24478,791,33,,,,,
fr.wikipedia,Wikipédia:Règles et recommandations,2003,215720,766,31,192,217,0.9367,0.3636,0.3871
fr.wikipedia,Wikipédia:Règles et recommandations,2004,1286867,1467,57,721,20,0.9552,0.4839,0.2456
fr.wikipedia,Wikipédia:Règles et recommandations,2005,4603523,1504,56,73,36,0.9959,0.807,0.8036
fr.wikipedia,Wikipédia:Règles et recommandations,2006,12364640,1500,55,55,59,0.9963,0.8393,0.8545
fr.wikipedia,Wikipédia:Règles et recommandations,2007,22931318,1534,58,97,63,0.9936,0.8545,0.8276
fr.wikipedia,Wikipédia:Règles et recommandations,2008,36479339,548,28,44,1030,0.9226,0.2931,0.6429
fr.wikipedia,Wikipédia:Règles et recommandations,2009,48312448,499,25,26,75,0.9857,0.75,0.84
fr.wikipedia,Wikipédia:Règles et recommandations,2010,59692291,512,25,13,0,0.9976,0.68,0.68
fr.wikipedia,Wikipédia:Règles et recommandations,2011,72079340,512,25,1,1,0.9998,0.96,0.96
fr.wikipedia,Wikipédia:Règles et recommandations,2012,85089415,507,26,7,12,0.9974,0.92,0.9231
fr.wikipedia,Wikipédia:Règles et recommandations,2013,97492961,434,24,6,79,0.9771,0.8462,0.9167
fr.wikipedia,Wikipédia:Règles et recommandations,2014,107835804,434,24,0,0,1.0,1.0,1.0
fr.wikipedia,Wikipédia:Règles et recommandations,2015,118297152,434,24,0,0,1.0,1.0,1.0
fr.wikipedia,Wikipédia:Règles et recommandations,2016,131132003,740,30,352,46,0.9401,0.4583,0.3333
fr.wikipedia,Wikipédia:Règles et recommandations,2018,152173271,815,31,204,129,0.9562,0.4667,0.3548
fr.wikipedia,Wikipédia:Règles et recommandations,2019,159853729,813,31,1,3,0.9998,0.9677,0.9677
fr.wikipedia,Wikipédia:Règles et recommandations,2020,174114206,817,31,15,11,0.9988,0.9677,0.9677
fr.wikipedia,Wikipédia:Règles et recommandations,2021,189250525,835,31,18,0,0.9991,1.0,1.0
fr.wikipedia,Wikipédia:Règles et recommandations,2022,199653978,966,34,132,1,0.9927,1.0,0.9118
fr.wikipedia,Wikipédia:Règles et recommandations,2023,209555272,967,34,2,1,0.9999,1.0,1.0
fr.wikipedia,Wikipédia:Règles et recommandations,2024,218767209,1017,36,50,0,0.9986,1.0,0.9444
fr.wikipedia,Wikipédia:Règles et recommandations,2025,231127977,1022,36,10,5,0.9994,0.9444,0.9444
