wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2011,39865453,357,7,,,,,
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2012,41818364,357,7,0,0,1.0,1.0,1.0
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2013,49249018,353,7,6,10,0.9845,1.0,1.0
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2015,54845863,353,7,0,0,1.0,1.0,1.0
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2016,61261684,354,7,2,1,0.9971,1.0,1.0
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2020,79709771,354,7,0,0,1.0,1.0,1.0
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2021,86657013,283,2,128,199,0.5478,0.1429,0.0
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2022,91364759,283,2,0,0,1.0,0.5,0.5
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2023,97535890,283,2,0,0,1.0,1.0,1.0
ja.wikipedia,Wikipedia:問い合わせ対応ボランティアチーム,2026,109419246,283,2,0,0,1.0,1.0,1.0
