wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
ja.wikipedia,Wikipedia:存命人物の伝記,2006,9240885,2428,81,,,,,
ja.wikipedia,Wikipedia:存命人物の伝記,2007,17053730,493,2,99,2034,0.2158,0.1728,1.0
ja.wikipedia,Wikipedia:存命人物の伝記,2008,22655311,494,2,17,16,0.9776,1.0,1.0
ja.wikipedia,Wikipedia:存命人物の伝記,2009,28127304,472,1,66,88,0.8889,0.5,1.0
ja.wikipedia,Wikipedia:存命人物の伝記,2010,34632956,481,1,11,2,0.9908,1.0,1.0
ja.wikipedia,Wikipedia:存命人物の伝記,2011,40397509,406,1,26,101,0.8856,1.0,1.0
ja.wikipedia,Wikipedia:存命人物の伝記,2012,45571003,460,1,84,30,0.8873,1.0,1.0
ja.wikipedia,Wikipedia:存命人物の伝記,2013,49533636,461,1,2,1,0.9977,1.0,1.0
ja.wikipedia,Wikipedia:存命人物の伝記,2014,52723762,461,1,0,0,1.0,1.0,1.0
ja.wikipedia,Wikipedia:存命人物の伝記,2015,56407400,466,1,12,7,0.9857,1.0,1.0
ja.wikipedia,Wikipedia:存命人物の伝記,2016,61924607,468,1,3,1,0.997,1.0,1.0
ja.wikipedia,Wikipedia:存命人物の伝記,2017,66446090,476,1,22,14,0.9737,0.0,0.0
ja.wikipedia,Wikipedia:存命人物の伝記,2018,71116546,473,1,0,3,0.9978,1.0,1.0
ja.wikipedia,Wikipedia:存命人物の伝記,2019,74983460,471,1,1,3,0.9971,1.0,1.0
ja.wikipedia,Wikipedia:存命人物の伝記,2020,80766134,469,1,1,3,0.9971,1.0,1.0
ja.wikipedia,Wikipedia:存命人物の伝記,2021,87096107,478,1,14,5,0.9862,1.0,1.0
ja.wikipedia,Wikipedia:存命人物の伝記,2022,91889464,477,1,6,7,0.9906,1.0,1.0
ja.wikipedia,Wikipedia:存命人物の伝記,2023,98401572,478,1,1,0,0.9993,1.0,1.0
ja.wikipedia,Wikipedia:存命人物の伝記,2024,102571026,478,1,0,0,1.0,1.0,1.0
ja.wikipedia,Wikipedia:存命人物の伝記,2025,105931380,453,1,0,25,0.9788,1.0,1.0
