wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
ja.wikipedia,Wikipedia:追放の方針,2006,9659630,610,14,,,,,
ja.wikipedia,Wikipedia:追放の方針,2007,16468344,628,14,54,36,0.9931,0.9286,0.9286
ja.wikipedia,Wikipedia:追放の方針,2008,23106093,608,14,2,22,0.9981,0.9286,1.0
ja.wikipedia,Wikipedia:追放の方針,2009,27560070,294,1,270,584,0.139,0.0,0.0
ja.wikipedia,Wikipedia:追放の方針,2011,39022952,294,1,0,0,1.0,1.0,1.0
ja.wikipedia,Wikipedia:追放の方針,2012,42999973,296,1,2,0,0.9972,1.0,0.0
ja.wikipedia,Wikipedia:追放の方針,2013,49930032,294,1,0,2,0.9972,0.0,1.0
ja.wikipedia,Wikipedia:追放の方針,2015,55032535,291,1,0,3,0.9958,1.0,1.0
ja.wikipedia,Wikipedia:追放の方針,2016,59321996,293,1,3,1,0.9944,1.0,1.0
ja.wikipedia,Wikipedia:追放の方針,2017,65635990,293,1,0,0,1.0,1.0,1.0
ja.wikipedia,Wikipedia:追放の方針,2018,69910185,293,1,0,0,1.0,1.0,1.0
ja.wikipedia,Wikipedia:追放の方針,2019,74519307,293,1,0,0,1.0,1.0,1.0
ja.wikipedia,Wikipedia:追放の方針,2020,80916332,293,1,1,1,0.9972,1.0,1.0
ja.wikipedia,Wikipedia:追放の方針,2021,82478667,293,1,1,1,0.9972,0.0,0.0
ja.wikipedia,Wikipedia:追放の方針,2022,92930044,276,1,8,25,0.9469,1.0,1.0
ja.wikipedia,Wikipedia:追放の方針,2023,97483404,284,1,9,1,0.9852,1.0,1.0
ja.wikipedia,Wikipedia:追放の方針,2024,101513906,284,1,0,0,1.0,1.0,1.0
ja.wikipedia,Wikipedia:追放の方針,2025,105921145,294,1,10,0,0.9856,1.0,1.0
