wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2007,7419310,19,1,,,,,
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2008,14932293,166,3,148,1,0.3294,1.0,0.3333
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2009,19434188,160,3,8,14,0.9725,0.6667,0.6667
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2010,22219844,319,6,161,2,0.7265,1.0,0.3333
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2011,25352810,319,6,0,0,1.0,1.0,1.0
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2012,33524526,320,6,3,2,0.9985,0.6667,0.6667
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2013,39433591,318,6,0,2,0.9995,1.0,1.0
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2014,42095558,317,6,0,1,0.9997,1.0,1.0
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2016,48292947,317,6,0,0,1.0,1.0,1.0
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2017,49156959,317,6,0,0,1.0,1.0,1.0
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2018,52574523,323,6,7,1,0.9975,0.8333,0.6667
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2019,54795202,322,6,1,2,0.9991,1.0,1.0
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2020,57718064,322,6,0,0,1.0,1.0,1.0
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2021,60213819,317,5,0,5,0.9985,1.0,1.0
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2022,61030833,317,5,0,0,1.0,1.0,1.0
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2023,66246406,362,6,46,1,0.9776,1.0,0.8333
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2024,67751617,362,6,0,0,1.0,1.0,1.0
nl.wikipedia,Portaal:Hulp en beheer/Regels en richtlijnen,2025,69673920,368,7,6,0,0.9984,1.0,1.0
