wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
nl.wikipedia,Wikipedia:Biografieën van levende personen,2007,10669274,1664,80,,,,,
nl.wikipedia,Wikipedia:Biografieën van levende personen,2008,14170255,1680,79,47,31,0.9984,0.9375,0.9494
nl.wikipedia,Wikipedia:Biografieën van levende personen,2009,16184550,1682,79,5,3,0.9999,1.0,1.0
nl.wikipedia,Wikipedia:Biografieën van levende personen,2010,20598845,1678,79,3,7,0.9998,1.0,1.0
nl.wikipedia,Wikipedia:Biografieën van levende personen,2011,28801546,1678,79,0,0,1.0,1.0,1.0
nl.wikipedia,Wikipedia:Biografieën van levende personen,2012,34088212,1587,66,218,309,0.9803,0.4557,0.4848
nl.wikipedia,Wikipedia:Biografieën van levende personen,2013,37562386,1587,66,0,0,1.0,1.0,1.0
nl.wikipedia,Wikipedia:Biografieën van levende personen,2014,42175930,1588,66,5,4,0.9997,0.9697,0.9697
nl.wikipedia,Wikipedia:Biografieën van levende personen,2016,47809549,1588,66,0,0,1.0,1.0,1.0
nl.wikipedia,Wikipedia:Biografieën van levende personen,2017,49554134,1588,66,0,0,1.0,1.0,1.0
nl.wikipedia,Wikipedia:Biografieën van levende personen,2018,52756508,1590,66,11,9,0.9996,0.9697,0.9697
nl.wikipedia,Wikipedia:Biografieën van levende personen,2019,55322092,1607,67,17,0,0.9997,1.0,0.9851
nl.wikipedia,Wikipedia:Biografieën van levende personen,2020,57271301,1622,68,15,0,0.9998,1.0,0.9853
nl.wikipedia,Wikipedia:Biografieën van levende personen,2021,60134561,1616,67,7,13,0.9996,0.9706,0.9851
nl.wikipedia,Wikipedia:Biografieën van levende personen,2022,63189966,1616,67,0,0,1.0,1.0,1.0
nl.wikipedia,Wikipedia:Biografieën van levende personen,2023,64808653,1616,67,0,0,1.0,1.0,1.0
nl.wikipedia,Wikipedia:Biografieën van levende personen,2024,68328640,1627,76,74,63,0.9968,0.9104,0.8289
nl.wikipedia,Wikipedia:Biografieën van levende personen,2025,69051684,1791,83,172,8,0.9951,0.9737,0.8916
nl.wikipedia,Wikipedia:Biografieën van levende personen,2026,70983412,1791,83,0,0,1.0,1.0,1.0
