wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
nl.wikipedia,Wikipedia:Contactpunt,2009,19299767,144,6,,,,,
nl.wikipedia,Wikipedia:Contactpunt,2010,23496194,153,6,9,0,0.9911,1.0,1.0
nl.wikipedia,Wikipedia:Contactpunt,2011,27491654,168,6,15,0,0.9932,1.0,1.0
nl.wikipedia,Wikipedia:Contactpunt,2012,33160089,174,6,6,0,0.9954,0.8333,0.8333
nl.wikipedia,Wikipedia:Contactpunt,2013,36054534,174,6,0,0,1.0,1.0,1.0
nl.wikipedia,Wikipedia:Contactpunt,2014,40546725,177,6,3,0,0.9977,1.0,1.0
nl.wikipedia,Wikipedia:Contactpunt,2015,45009386,186,6,11,2,0.9868,1.0,1.0
nl.wikipedia,Wikipedia:Contactpunt,2016,45760631,186,6,0,0,1.0,1.0,1.0
nl.wikipedia,Wikipedia:Contactpunt,2017,48699616,185,6,3,4,0.995,0.8333,0.8333
nl.wikipedia,Wikipedia:Contactpunt,2018,52458609,187,6,2,0,0.9987,1.0,1.0
nl.wikipedia,Wikipedia:Contactpunt,2019,55207270,197,6,10,0,0.9938,1.0,1.0
nl.wikipedia,Wikipedia:Contactpunt,2020,57270097,199,6,4,2,0.9948,0.8333,0.8333
nl.wikipedia,Wikipedia:Contactpunt,2021,60555563,201,7,24,22,0.9656,0.6667,0.5714
nl.wikipedia,Wikipedia:Contactpunt,2024,68002448,206,7,7,2,0.9944,0.7143,0.7143
nl.wikipedia,Wikipedia:Contactpunt,2025,68790569,116,3,21,111,0.7774,0.2857,0.6667
nl.wikipedia,Wikipedia:Contactpunt,2026,70749666,116,3,0,0,1.0,1.0,1.0
