wiki,lang,title,fetched_at,char_count
en.wikipedia,en,Wikipedia:List of policies and guidelines,cached,27920
de.wikipedia,de,Wikipedia:Grundprinzipien,2026-06-12T21:38:41Z,5524
fr.wikipedia,fr,Wikipédia:Liste des règles et recommandations,cached,9145
es.wikipedia,es,Wikipedia:Lista de políticas y convenciones,cached,2994
ru.wikipedia,ru,Википедия:Правила и руководства,cached,16456
it.wikipedia,it,Wikipedia:Politiche e linee guida,cached,14991
pt.wikipedia,pt,Wikipédia:Políticas e recomendações,cached,5255
ja.wikipedia,ja,Wikipedia:方針とガイドラインの一覧,cached,4633
zh.wikipedia,zh,Wikipedia:方针指引列表,cached,30325
nl.wikipedia,nl,Portaal:Hulp en beheer,2026-06-12T21:38:42Z,12410
pl.wikipedia,pl,Wikipedia:Zasady,cached,5144
ar.wikipedia,ar,ويكيبيديا:قائمة السياسات والإرشادات,cached,16269
sv.wikipedia,sv,Wikipedia:Policies och riktlinjer,cached,8928
uk.wikipedia,uk,Вікіпедія:Правила,2026-06-12T21:38:44Z,19751
ko.wikipedia,ko,위키백과:위키백과의 정책과 지침 목록,cached,21143
he.wikipedia,he,ויקיפדיה:מדיניות,cached,4507
vi.wikipedia,vi,Wikipedia:Danh sách quy định và hướng dẫn,cached,19372
cs.wikipedia,cs,Nápověda:Pravidla,cached,5482
